StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Section,Q1,Q2,Q3,Q5,Q6,Q6_7_TEXT,Q7,Q8,Q8_6_TEXT,Q9,Q10_1,Q10_2,Q11,Q12,Q13,Q14_1,Q14_2,Q14_3,Q15_1,Q15_2,Q15_3,Q15_4,Q15_5,Q15_6,Q15_7,Q15_8,Q15_9,Q16_1,Q16_2,Q16_3,Q16_4,Q16_5,Q17_1,Q17_2,Q17_3,Q17_4,Q17_5,Q18_1,Q18_2,Q18_3,Q18_4,Q19_1,Q19_2,Q19_3,Q19_4,Q20_1,Q20_2,Q20_3,Q20_4,Q21_1,Q21_2,Q21_3,Q21_4,Q22_1,Q22_2,Q22_3,Q22_4,Q22_5,Q22_6
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,,What is your First Name?,What is your Last Name?,What is your school email?,Please indicate your consent to participate in this study:,Why did you enroll in CSC110? (Choose up to 3 responses) - Selected Choice,Why did you enroll in CSC110? (Choose up to 3 responses) - Other (specify in the text area) - Text,Which of the following experiences did you have prior to entering Smith College? (Select all that apply.),What class year are you in? - Selected Choice,What class year are you in? - Other (Please specify) - Text,What is your declaration status? (Select all that apply.),Please rate your agreement with the following: - I am considering declaring a computer science major,Please rate your agreement with the following: - I am considering declaring a computer science minor,Did you declare a major for Computer Science?,What is your first major (NA if you did not declare yet),"What is your second major, minor, or program of study (concentration)",Please rate your agreement with the following: - I am considering changing my major to a computer science major,Please rate your agreement with the following: - I am considering adding a computer science major,Please rate your agreement with the following: - I am considering adding a computer science minor,Please rate your agreement with the following statements: - Tests are important for learning course materials.,"Please rate your agreement with the following statements: - After the test, it is important to study again, based on the results.",Please rate your agreement with the following statements: - The score in a multiple-choice questions test is enough to help me improve my understanding,"Please rate your agreement with the following statements: - If the final test is not cumulative, I don't need to review previous test results.",Please rate your agreement with the following statements: - I care more about the score of a test than the feedback I get for my answers,Please rate your agreement with the following statements: - I study the results of a test to understand my mistakes.,Please rate your agreement with the following statements: - The results of tests help me realize what to pay more attention to in class.,Please rate your agreement with the following statements: - The results of a test help me organize and structure the way I study in the future,Please rate your agreement with the following statements: - I think it is very important to be able to fully explain myself when answering a question,Please rate your agreement with the following statements: - A multiple-choice test is a fair evaluation of what I can learn in the class.,"Please rate your agreement with the following statements: - If I had more time to complete a test, I would do better.",Please rate your agreement with the following statements: - I prefer questions with free-form answers to multiple-choice questions,"Please rate your agreement with the following statements: - When answering a multiple-choice question, I sometimes feel that I need to add a note or clarifying comment","Please rate your agreement with the following statements: - When answering a free-form question, I sometimes have trouble knowing how to answer","Please indicate how often you engage in the following actions: - In preparing for a test, I study in one sitting.","Please indicate how often you engage in the following actions: - In preparing for a test, I study the results of previous tests.","Please indicate how often you engage in the following actions: - In preparing for a test, I study by myself.","Please indicate how often you engage in the following actions: - After getting the results for a test, I study again to understand my mistakes.",Please indicate how often you engage in the following actions: - Having a test helps me focus in order to learn the materials,"Please indicate the number of hours devoted to the following actions: - How many hours do you estimate you spend, on average, studying/preparing for a test (such as for a midterm)?","Please indicate the number of hours devoted to the following actions: - How many hours do you estimate you spend, on average, studying the results after receiving a test grade (such as for a midterm)?","Please indicate the number of hours devoted to the following actions: - How many hours do you estimate you spend, on average, studying/preparing for a final exam?","Please indicate the number of hours devoted to the following actions: - How many hours do you estimate you spend, on average, studying the results after receiving a final grade?",Please rate your agreement with the following statements: - I have a difficult time organizing my thoughts when I take a test.,Please rate your agreement with the following statements: - I have difficulty thinking clearly while I take a test.,Please rate your agreement with the following statements: - I have a hard time paying attention when I take a test.,Please rate your agreement with the following statements: - My mind wanders when I take a test.,Please rate your agreement with the following statements: - I worry a lot about tests.,Please rate your agreement with the following statements: - I get nervous before I have to take a test.,Please rate your agreement with the following statements: - I am nervous when my instructor hands me my graded test.,Please rate your agreement with the following statements: - I continue to worry about a test even though it is over.,Please rate your agreement with the following statements: - I focus better on a test when I feel slightly anxious.,Please rate your agreement with the following statements: - I feel I am more prepared when I am slightly anxious before I take a test.,Please rate your agreement with the following statements: - I know I will perform well on a test when I am slightly worried about it.,Please rate your agreement with the following statements: - I perform well on a test when I am slightly nervous during the test.,Please rate your agreement with the following statements: - I worry that I might know the answer but have trouble expressing it correctly,Please rate your agreement with the following statements: - I worry that the exam might not be able to show my level of understanding,Please rate your agreement with the following statements: - A Multiple-Choice Question test makes me feel less anxious,Please rate your agreement with the following statements: - If I know I have to provide free-form answers I get more anxious,Please rate your agreement with the following statements: - Having to answer many short questions is better than a few larger questions,Please rate your agreement with the following statements: - Tests with many rules make me anxious
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}",,"{""ImportId"":""QID23_TEXT""}","{""ImportId"":""QID24_TEXT""}","{""ImportId"":""QID25_TEXT""}","{""ImportId"":""QID27""}","{""ImportId"":""QID1""}","{""ImportId"":""QID1_7_TEXT""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID3_6_TEXT""}","{""ImportId"":""QID4""}","{""ImportId"":""QID6_1""}","{""ImportId"":""QID6_2""}","{""ImportId"":""QID12""}","{""ImportId"":""QID7_TEXT""}","{""ImportId"":""QID8_TEXT""}","{""ImportId"":""QID11_1""}","{""ImportId"":""QID11_2""}","{""ImportId"":""QID11_3""}","{""ImportId"":""QID13_1""}","{""ImportId"":""QID13_2""}","{""ImportId"":""QID13_3""}","{""ImportId"":""QID13_4""}","{""ImportId"":""QID13_5""}","{""ImportId"":""QID13_6""}","{""ImportId"":""QID13_7""}","{""ImportId"":""QID13_8""}","{""ImportId"":""QID13_9""}","{""ImportId"":""QID14_1""}","{""ImportId"":""QID14_2""}","{""ImportId"":""QID14_3""}","{""ImportId"":""QID14_4""}","{""ImportId"":""QID14_5""}","{""ImportId"":""QID15_1""}","{""ImportId"":""QID15_2""}","{""ImportId"":""QID15_3""}","{""ImportId"":""QID15_4""}","{""ImportId"":""QID15_5""}","{""ImportId"":""QID16_1""}","{""ImportId"":""QID16_2""}","{""ImportId"":""QID16_3""}","{""ImportId"":""QID16_4""}","{""ImportId"":""QID19_1""}","{""ImportId"":""QID19_2""}","{""ImportId"":""QID19_3""}","{""ImportId"":""QID19_4""}","{""ImportId"":""QID20_1""}","{""ImportId"":""QID20_2""}","{""ImportId"":""QID20_3""}","{""ImportId"":""QID20_4""}","{""ImportId"":""QID21_1""}","{""ImportId"":""QID21_2""}","{""ImportId"":""QID21_3""}","{""ImportId"":""QID21_4""}","{""ImportId"":""QID22_1""}","{""ImportId"":""QID22_2""}","{""ImportId"":""QID22_3""}","{""ImportId"":""QID22_4""}","{""ImportId"":""QID22_5""}","{""ImportId"":""QID22_6""}"
##########,##########,IP Address,,100,540,TRUE,##########,R_CeiNb1bBBHuZf3P,,,,,,,anonymous,EN,3,,honored-tamarillo,,I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.,It was required for my major/minor,,"Took AP Computer Science A,Took other AP courses",Senior,,"I have declared a major,I have declared a second major",,,No,Psychology,Spanish,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Sometimes,Often,Often,Never,Often,Between 1 and 5 hours,Between 1 and 2 hours,Between 5 and 10 hours,Less than 1 hour,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree
##########,##########,IP Address,,82,251816,FALSE,##########,R_3IcXtl2HJCVVwCL,,,,,,,anonymous,EN,1,,distressed-tamarillo,,I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.,It was required for my major/minor,,,Sophomore,,I have declared a major,,,No,Engineering,,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Rarely,Always,Always,Often,Often,Between 5 and 10 hours,Between 1 and 2 hours,More than 10 hours,Less than 1 hour,,,,,,,,,,,,,,,,,,
##########,##########,IP Address,,100,2446,TRUE,##########,R_3L2doodjYMXWxoE,,,,,,,anonymous,EN,3,,dreamy-mangetout,,I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.,"Curiosity or interest in computer science,A teacher or other mentor encouraged me to,It helped build my computer science skills for my other interests",,,Sophomore,,I have declared a major,,,No,Biology,,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Often,Sometimes,Often,Sometimes,Rarely,Between 1 and 2 hours,Less than 1 hour,Between 1 and 5 hours,Between 1 and 2 hours,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree
##########,##########,IP Address,,100,422,TRUE,##########,R_21swlBshHTHLmMa,,,,,,,anonymous,EN,3,,manipulated-sage,,I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.,"Curiosity or interest in computer science,Other (specify in the text area)",I wanted to call upon a different style of thinking from humanities.,,Sophomore,,I have not declared a major,Strongly disagree,Somewhat disagree,No,,,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Often,Rarely,Sometimes,Rarely,Sometimes,Between 1 and 2 hours,Less than 1 hour,Between 1 and 5 hours,Less than 1 hour,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree
9/8/22 7:58,9/8/22 8:05,IP Address,,100,400,TRUE,9/8/22 8:05,R_1H6IxR5F89AHCK2,,,,,,,anonymous,EN,3,,inclusive-asparagus,,I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.,"It was required for my major/minor,Curiosity or interest in computer science,Other (specify in the text area)",Friends recommend because of Professor,Took AP Computer Science Principles,Sophomore,,I have not declared a major,Neither agree nor disagree,Somewhat disagree,No,NA,,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Between 1 and 2 hours,Less than 1 hour,Between 1 and 2 hours,Less than 1 hour,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
##########,##########,IP Address,,100,236,TRUE,##########,R_2sRrfFty2ZMx49G,,,,,,,anonymous,EN,1,,framed-pineapple,,I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.,It was required for my major/minor,,"Took AP Calculus BC,Took other AP courses",First Year,,I have not declared a major,Somewhat agree,Neither agree nor disagree,No,NA,,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Sometimes,Sometimes,Sometimes,Often,Sometimes,Between 1 and 5 hours,Between 1 and 5 hours,Between 1 and 5 hours,Between 1 and 5 hours,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly agree
##########,##########,IP Address,,100,490,TRUE,##########,R_2w0Nq5qRaQz8q9F,,,,,,,anonymous,EN,2,,accused-lime,,I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.,It was required for my major/minor,,Took AP Calculus AB,Junior,,I have declared a second major,,,No,Biological Sciences,SDS,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat disagree,Rarely,Sometimes,Often,Often,Sometimes,Between 1 and 5 hours,Between 1 and 2 hours,Between 1 and 5 hours,Less than 1 hour,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree
##########,##########,IP Address,,100,323,TRUE,##########,R_1hTiGkVR6RnQ9IH,,,,,,,anonymous,EN,3,,fatigued-rosemary,,I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.,"It was required for my major/minor,Curiosity or interest in computer science,My parents encouraged me to,It helped build my computer science skills for my other interests",,"Took AP Computer Science Principles,Took AP Calculus BC",Sophomore,,I have not declared a major,Strongly agree,Neither agree nor disagree,No,NA,,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat disagree,Strongly agree,Often,Always,Often,Always,Always,Between 1 and 2 hours,Less than 1 hour,Between 1 and 5 hours,Less than 1 hour,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
