StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,section,Q1.1,Q1.2,Q1.3,Q1.4,Q2.2,Q3.1,Q3.1_7_TEXT,Q3.2,Q3.3,Q3.3_6_TEXT,Q3.4_1,Q3.5_1,Q3.6,Q3.7,Q4.1_1,Q4.1_2,Q4.1_3,Q4.1_4,Q4.1_5,Q4.1_6,Q5.1_1,Q5.1_2,Q5.1_3,Q5.1_4,Q5.1_5,Q5.1_6,Q6.1_1,Q6.1_2,Q6.1_3,Q6.1_4,Q6.1_5,Q6.2_1,Q6.2_2,Q6.2_3,Q6.2_4,Q6.2_5,Q6.2_6,Q6.2_7,Q6.2_8,Q6.2_9,Q6.3_1,Q6.3_2,Q6.3_3,Q6.3_4,Q7.1_1,Q7.1_2,Q7.1_3,Q7.1_4,Q7.2_1,Q7.2_2,Q7.2_3,Q7.2_4,Q7.3_1,Q7.3_2,Q7.3_3,Q7.3_4,Q7.3_5,Q7.3_6,Q7.4_1,Q7.4_2,Q7.4_3,Q7.4_4,Q7.4_5,Q7.4_6,Q7.4_7
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,,What is your First Name?,What is your Last Name?,What is your school email?,What section of CSC 110 were you in?,Please indicate your consent to participate in this study:,Why did you enroll in CSC110? (Choose up to 3 responses) - Selected Choice,Why did you enroll in CSC110? (Choose up to 3 responses) - Other (specify in the text area) - Text,Which of the following experiences did you have prior to entering Smith College? (Select all that apply.),What class year are you in? - Selected Choice,What class year are you in? - Other (Please specify) - Text,Which of the following applies to you: - Intent to declare a Computer Science MAJOR,Which of the following applies to you: - Intent to declare a Computer Science MINOR,What is your first major (NA if you did not declare yet),"What is your second major, minor, or program of study or concentration (NA if you don't have one)",Please rate your agreement with the following statements: - The tests in this course were important for learning course materials,Please rate your agreement with the following statements: - The tests in this course were useful for measuring my own understanding of the content of the course,Please rate your agreement with the following statements: - The tests in this course were useful to verify I met the requirements of the course,Please rate your agreement with the following statements: - I prefer Multiple-Choice to Open-Answer questions,"Please rate your agreement with the following statements: - After obtaining the MCQ results, I felt motivated to study the results to improve my understanding",Please rate your agreement with the following statements: - Having a chance to gain points back made me feel more motivated to understand my mistakes and correct my understanding.,Please rate your agreement with the following statements: - A Multiple-Choice Question test is a fair evaluation of what I learned in the class,Please rate your agreement with the following statements: - An open-answer question test would have been a better evaluation of what I learned in the class,Please rate your agreement with the following statements: - I feel less time pressure in a Multiple-choice question test than in an open-answer question test.,"Please rate your agreement with the following statements: - If I had more time to complete the Multiple-Choice Question tests, I would have had a better result.","Please rate your agreement with the following statements: - When answering the Multiple-Choice Question test, I sometimes felt the need to add a note or clarifying comment",Please rate your agreement with the following statements: - I appreciated the opportunity to add comments to fully explain myself when answering a question,"Please indicate how often you engage in the following actions: - In preparing for the tests, I studied in one sitting.","Please indicate how often you engage in the following actions: - In preparing for the tests, I studied the results of previous tests.","Please indicate how often you engage in the following actions: - In preparing for the tests, I studied by myself.","Please indicate how often you engage in the following actions: - After getting the results for the tests, I studied again to understand my mistakes.",Please indicate how often you engage in the following actions: - Having the Multiple-Choice Question tests helped me focus in order to learn the materials,Please rate your agreement with the following statements: - The benefit of the Multiple-Choice Question test was that it forced me to study,Please rate your agreement with the following statements: - I used the Multiple-Choice Question test results to check and/or argue my grade,Please rate your agreement with the following statements: - I studied the results of the Multiple-Choice Question test in order to improve my understanding.,Please rate your agreement with the following statements: - I would have studied more time for a Open-Answer question test than for the Multiple-Choice Question test.,Please rate your agreement with the following statements: - I was able to get useful information from the results of the Multiple-Choice Question test.,Please rate your agreement with the following statements: - I felt I needed additional feedback in addition to the test results.,Please rate your agreement with the following statements: - The test results and feedback were not too long.,Please rate your agreement with the following statements: - Getting the expected correct answer as feedback was enough to understand why I got a question wrong.,Please rate your agreement with the following statements: - It was always useful to get the difference between my incorrect answers and the expected correct answers.,"Please indicate the number of hours devoted to the following actions: - How many hours did you spend, on average, studying/preparing for each partial test?","Please indicate the number of hours devoted to the following actions: - How many hours did you spend, on average, studying the results after receiving a partial test grade?","Please indicate the number of hours devoted to the following actions: - How many hours did you spend, on average, studying/preparing for the final exam?","Please indicate the number of hours devoted to the following actions: - How many hours did you spend, on average, studying the results after receiving a final grade?",Please rate your agreement with the following statements: - I had a difficult time organizing my thoughts when I took the Multiple-Choice Question tests.,Please rate your agreement with the following statements: - I had difficulty thinking clearly while I took the Multiple-Choice Question tests.,Please rate your agreement with the following statements: - I had a hard time paying attention when I took the Multiple-Choice Question tests.,Please rate your agreement with the following statements: - My mind wandered when I took the Multiple-Choice Question tests.,Please rate your agreement with the following statements: - I worried a lot about the Multiple-Choice Question tests.,Please rate your agreement with the following statements: - I got nervous before I had to take the Multiple-Choice Question tests.,Please rate your agreement with the following statements: - I was nervous when my instructor handed me my graded tests.,Please rate your agreement with the following statements: - I continue to worry about the Multiple-Choice Question tests even though they were over.,"Please rate your agreement with the following statements: - For the Multiple-Choice Question tests, I worried that I needed to justify my answer.","Please rate your agreement with the following statements: - For the Multiple-Choice Question tests, I worried that the exams might not be able to show my level of understanding",Please rate your agreement with the following statements: - A Multiple-Choice Question test makes me feel less anxious,Please rate your agreement with the following statements: - If I know I will have to provide free-form answers I would get more anxious,Please rate your agreement with the following statements: - Having to answer many short questions was better than a few larger questions,Please rate your agreement with the following statements: - The rules for the tests made me anxious,Please rate your agreement with the following statements: - The test structure was effective in facilitating learning,Please rate your agreement with the following statements: - The test structure was helpful in planning and motivating study,Please rate your agreement with the following statements: - The test structure was helpful in reducing anxiety,Please rate your agreement with the following statements: - The test structure allowed me to accurately represent what I learned.,Please rate your agreement with the following statements: - The test structure results are likely to vary a lot depending on who takes the test or where/when the test is taken.,Please rate your agreement with the following statements: - The test structure is fair,Please rate your agreement with the following statements: - The test structure added to the difficulty of dealing with an exam
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}",,"{""ImportId"":""QID23_TEXT""}","{""ImportId"":""QID24_TEXT""}","{""ImportId"":""QID25_TEXT""}","{""ImportId"":""QID29""}","{""ImportId"":""QID27""}","{""ImportId"":""QID1""}","{""ImportId"":""QID1_7_TEXT""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID3_6_TEXT""}","{""ImportId"":""QID31_1""}","{""ImportId"":""QID32_1""}","{""ImportId"":""QID33_TEXT""}","{""ImportId"":""QID8_TEXT""}","{""ImportId"":""QID13_1""}","{""ImportId"":""QID13_3""}","{""ImportId"":""QID13_4""}","{""ImportId"":""QID13_2""}","{""ImportId"":""QID13_10""}","{""ImportId"":""QID13_8""}","{""ImportId"":""QID14_1""}","{""ImportId"":""QID14_6""}","{""ImportId"":""QID14_7""}","{""ImportId"":""QID14_2""}","{""ImportId"":""QID14_4""}","{""ImportId"":""QID14_5""}","{""ImportId"":""QID15_1""}","{""ImportId"":""QID15_2""}","{""ImportId"":""QID15_3""}","{""ImportId"":""QID15_6""}","{""ImportId"":""QID15_5""}","{""ImportId"":""QID36_5""}","{""ImportId"":""QID36_7""}","{""ImportId"":""QID36_2""}","{""ImportId"":""QID36_13""}","{""ImportId"":""QID36_4""}","{""ImportId"":""QID36_8""}","{""ImportId"":""QID36_9""}","{""ImportId"":""QID36_11""}","{""ImportId"":""QID36_12""}","{""ImportId"":""QID16_1""}","{""ImportId"":""QID16_2""}","{""ImportId"":""QID16_3""}","{""ImportId"":""QID16_4""}","{""ImportId"":""QID19_1""}","{""ImportId"":""QID19_2""}","{""ImportId"":""QID19_3""}","{""ImportId"":""QID19_4""}","{""ImportId"":""QID20_1""}","{""ImportId"":""QID20_2""}","{""ImportId"":""QID20_3""}","{""ImportId"":""QID20_4""}","{""ImportId"":""QID22_1""}","{""ImportId"":""QID22_2""}","{""ImportId"":""QID22_3""}","{""ImportId"":""QID22_4""}","{""ImportId"":""QID22_5""}","{""ImportId"":""QID22_6""}","{""ImportId"":""QID38_1""}","{""ImportId"":""QID38_2""}","{""ImportId"":""QID38_3""}","{""ImportId"":""QID38_4""}","{""ImportId"":""QID38_5""}","{""ImportId"":""QID38_6""}","{""ImportId"":""QID38_7""}"
##########,##########,IP Address,,100,313,TRUE,##########,,,,,,,,email,EN,1,,apricot-pea,,Section 1: 8:00 AM - 9:15 AM with Pablo Frank,I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.,Curiosity or interest in computer science,,Took other dual enrollment courses,First Year,,I am sure that I will NOT Declare a CS Major,I am sure that I will NOT Declare a CS Minor,NA,NA,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Often,Always,Sometimes,Sometimes,Sometimes,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Between 1 and 2 hours,Less than 1 hour,Between 1 and 5 hours,Less than 1 hour,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree
##########,##########,IP Address,,100,438,TRUE,##########,,,,,,,,email,EN,1,,apricot-tomato,,Section 1: 8:00 AM - 9:15 AM with Pablo Frank,I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.,Curiosity or interest in computer science,,Took AP Calculus AB,Junior,,I am sure that I will NOT Declare a CS Major,I am sure that I will NOT Declare a CS Minor,Dance,Psychology minor,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly disagree,Strongly agree,Less than 1 hour,Less than 1 hour,Less than 1 hour,Less than 1 hour,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Somewhat disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
##########,##########,IP Address,,100,348,TRUE,##########,,,,,,,,email,EN,1,,aquamarine-cucumber,,Section 1: 8:00 AM - 9:15 AM with Pablo Frank,I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.,"It was required for my major/minor,Curiosity or interest in computer science,My parents encouraged me to",,"Took AP Calculus AB,Took other AP courses,Engaged in software or hardware related projects,Attended a workshop or other training in computer science (e.g., through your local library, community center, etc.)",First Year,,I lean towards NOT Declaring a CS Major,I am sure that I will NOT Declare a CS Minor,na,na,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Strongly agree,Strongly agree,Sometimes,Always,Always,Often,Always,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Between 1 and 5 hours,Less than 1 hour,Between 1 and 5 hours,Less than 1 hour,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree
##########,##########,IP Address,,100,319,TRUE,##########,,,,,,,,email,EN,1,,bittersweet-potato,,Section 1: 8:00 AM - 9:15 AM with Pablo Frank,I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.,It was required for my major/minor,,,First Year,,I am sure that I will NOT Declare a CS Major,I am sure that I will NOT Declare a CS Minor,anthropology,minor is sds,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Rarely,Always,Often,Always,Always,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Between 1 and 5 hours,Between 1 and 5 hours,Between 1 and 5 hours,Between 1 and 5 hours,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree
##########,##########,IP Address,,100,388,TRUE,##########,,,,,,,,email,EN,1,,bittersweet-tubers,,Section 1: 8:00 AM - 9:15 AM with Pablo Frank,I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.,It was required for my major/minor,,"Took AP Computer Science Principles,Took a computer science or programming course not associated with AP or dual enrollment,Completed an online course related to computer science or programming (e.g., MOOC),Learned a computer programming language on my own,Engaged in software or hardware related projects,Took part in student groups related to computer science,Attended a workshop or other training in computer science (e.g., through your local library, community center, etc.)",First Year,,I am sure that I will NOT Declare a CS Major,I am sure that I will NOT Declare a CS Minor,Anthropology,SDS,Strongly disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Sometimes,Sometimes,Often,Sometimes,Sometimes,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Between 1 and 2 hours,Less than 1 hour,Between 1 and 2 hours,Less than 1 hour,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
##########,##########,IP Address,,100,474,TRUE,##########,,,,,,,,email,EN,1,,black-turnip,,Section 1: 8:00 AM - 9:15 AM with Pablo Frank,I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.,"Curiosity or interest in computer science,It helped build my computer science skills for my other interests",,Took a computer science or programming course not associated with AP or dual enrollment,First Year,,I lean towards NOT Declaring a CS Major,I might or might not declare a CS Minor,NA,NA,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly agree,Often,Always,Often,Always,Always,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Between 1 and 2 hours,Less than 1 hour,Between 1 and 2 hours,Less than 1 hour,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Strongly agree,Neither agree nor disagree
##########,##########,IP Address,,100,308,TRUE,##########,,,,,,,,email,EN,1,,blue-watercress,,Section 1: 8:00 AM - 9:15 AM with Pablo Frank,I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.,"It was required for my major/minor,Curiosity or interest in computer science,It helped build my computer science skills for my other interests",,,First Year,,I lean towards NOT Declaring a CS Major,I lean towards NOT Declaring a CS Minor,Psychology,NA,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Rarely,Always,Often,Always,Sometimes,Somewhat agree,Somewhat agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Between 5 and 10 hours,Between 1 and 5 hours,Between 1 and 5 hours,Between 1 and 5 hours,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Neither agree nor disagree
##########,##########,IP Address,,100,335,TRUE,##########,,,,,,,,email,EN,1,,brown-mandarine,,Section 1: 8:00 AM - 9:15 AM with Pablo Frank,I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.,"It was required for my major/minor,Curiosity or interest in computer science",,Took AP Calculus AB,Sophomore,,I am sure that I will NOT Declare a CS Major,I am sure that I will NOT Declare a CS Minor,Mathematical Statistics,economics minor,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Strongly agree,Always,Always,Always,Always,Never,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Less than 1 hour,Less than 1 hour,Less than 1 hour,Less than 1 hour,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Strongly agree
