,StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,key,Section,q1_total,q1a,q1b,q1c,j1a,j1b,j1c,c1a,c1b,c1c,T1_First Click,T1_Last Click,T1_Page Submit,T1_Click Count,q2_total,q2a,q2b,q2c,j2a,j2b,j2c,c2a,c2b,c2c,T2_First Click,T2_Last Click,T2_Page Submit,T2_Click Count,q3_total,q3a,q3b,q3c,j3a,j3b,j3c,c3a,c3b,c3c,T3_First Click,T3_Last Click,T3_Page Submit,T3_Click Count,q4_total,q4a,q4b,q4c,j4a,j4b,j4c,c4a,c4b,c4c,T4_First Click,T4_Last Click,T4_Page Submit,T4_Click Count,q5_total,q5a,q5b,q5c,j5a,j5b,j5c,c5a,c5b,c5c,T5_First Click,T5_Last Click,T5_Page Submit,T5_Click Count,q6_total,q6a,q6b,q6c,j6a,j6b,j6c,c6a,c6b,c6c,Q6_First Click,Q6_Last Click,Q6_Page Submit,Q6_Click Count,q7_total,q7a,q7b,q7c,j7a,j7b,j7c,c7a,c7b,c7c,T7_First Click,T7_Last Click,T7_Page Submit,T7_Click Count,q8_total,q8a,q8b,q8c,j8a,j8b,j8c,c8a,c8b,c8c,T8_First Click,T8_Last Click,T8_Page Submit,T8_Click Count,SC0,score_check
0,Start Date,End Date,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,What is your Last Name?,What section are you in?,,Using the following three function definitions: Which of the following three choices produces a p... - Multiple Choice (Choose 1) - 1,Using the following three function definitions: Which of the following three choices produces a p... - Multiple Choice (Choose 1) - 2,Using the following three function definitions: Which of the following three choices produces a p... - Multiple Choice (Choose 1) - 5,Using the following three function definitions: Which of the following three choices produces a p... - Justification - 1,Using the following three function definitions: Which of the following three choices produces a p... - Justification - 2,Using the following three function definitions: Which of the following three choices produces a p... - Justification - 5,Using the following three function definitions: Which of the following three choices produces a p... - comments - No Name - 1 - [optional],Using the following three function definitions: Which of the following three choices produces a p... - comments - No Name - 2 - [optional],Using the following three function definitions: Which of the following three choices produces a p... - comments - No Name - 5 - [optional],Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,,Using the following two function definitions: Which of the following three choices causes the fol... - Multiple Choice (Choose 1) - 1,Using the following two function definitions: Which of the following three choices causes the fol... - Multiple Choice (Choose 1) - 2,Using the following two function definitions: Which of the following three choices causes the fol... - Multiple Choice (Choose 1) - 5,Using the following two function definitions: Which of the following three choices causes the fol... - Justification - 1,Using the following two function definitions: Which of the following three choices causes the fol... - Justification - 2,Using the following two function definitions: Which of the following three choices causes the fol... - Justification - 5,Using the following two function definitions: Which of the following three choices causes the fol... - comments - No Name - 1 - [optional],Using the following two function definitions: Which of the following three choices causes the fol... - comments - No Name - 2 - [optional],Using the following two function definitions: Which of the following three choices causes the fol... - comments - No Name - 5 - [optional],Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,,Which of the following choices shows a function that is able to determine if an input string has... - Multiple Choice (Choose 1) - 1,Which of the following choices shows a function that is able to determine if an input string has... - Multiple Choice (Choose 1) - 2,Which of the following choices shows a function that is able to determine if an input string has... - Multiple Choice (Choose 1) - 5,Which of the following choices shows a function that is able to determine if an input string has... - Justification - 1,Which of the following choices shows a function that is able to determine if an input string has... - Justification - 2,Which of the following choices shows a function that is able to determine if an input string has... - Justification - 5,Which of the following choices shows a function that is able to determine if an input string has... - comments - No Name - 1 - [optional],Which of the following choices shows a function that is able to determine if an input string has... - comments - No Name - 2 - [optional],Which of the following choices shows a function that is able to determine if an input string has... - comments - No Name - 5 - [optional],Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,,Which of the following choices shows a function that:correctly asks a user to guess a number (the... - Multiple Choice (Choose 1) - 1,Which of the following choices shows a function that:correctly asks a user to guess a number (the... - Multiple Choice (Choose 1) - 2,Which of the following choices shows a function that:correctly asks a user to guess a number (the... - Multiple Choice (Choose 1) - 5,Which of the following choices shows a function that:correctly asks a user to guess a number (the... - Justification - 1,Which of the following choices shows a function that:correctly asks a user to guess a number (the... - Justification - 2,Which of the following choices shows a function that:correctly asks a user to guess a number (the... - Justification - 5,Which of the following choices shows a function that:correctly asks a user to guess a number (the... - comments - No Name - 1 - [optional],Which of the following choices shows a function that:correctly asks a user to guess a number (the... - comments - No Name - 2 - [optional],Which of the following choices shows a function that:correctly asks a user to guess a number (the... - comments - No Name - 5 - [optional],Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,,Which of the choices correctly counts and return the number of symbols inside a string that are e... - Multiple Choice (Choose 1) - 1,Which of the choices correctly counts and return the number of symbols inside a string that are e... - Multiple Choice (Choose 1) - 2,Which of the choices correctly counts and return the number of symbols inside a string that are e... - Multiple Choice (Choose 1) - 5,Which of the choices correctly counts and return the number of symbols inside a string that are e... - Justification - 1,Which of the choices correctly counts and return the number of symbols inside a string that are e... - Justification - 2,Which of the choices correctly counts and return the number of symbols inside a string that are e... - Justification - 5,Which of the choices correctly counts and return the number of symbols inside a string that are e... - comments - No Name - 1 - [optional],Which of the choices correctly counts and return the number of symbols inside a string that are e... - comments - No Name - 2 - [optional],Which of the choices correctly counts and return the number of symbols inside a string that are e... - comments - No Name - 5 - [optional],Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,,For a call like this: pyramid(5) Which of the following choices correctly causes the printout sho... - Multiple Choice (Choose 1) - 1,For a call like this: pyramid(5) Which of the following choices correctly causes the printout sho... - Multiple Choice (Choose 1) - 2,For a call like this: pyramid(5) Which of the following choices correctly causes the printout sho... - Multiple Choice (Choose 1) - 5,For a call like this: pyramid(5) Which of the following choices correctly causes the printout sho... - Justification - 1,For a call like this: pyramid(5) Which of the following choices correctly causes the printout sho... - Justification - 2,For a call like this: pyramid(5) Which of the following choices correctly causes the printout sho... - Justification - 5,For a call like this: pyramid(5) Which of the following choices correctly causes the printout sho... - comments - No Name - 1 - [optional],For a call like this: pyramid(5) Which of the following choices correctly causes the printout sho... - comments - No Name - 2 - [optional],For a call like this: pyramid(5) Which of the following choices correctly causes the printout sho... - comments - No Name - 5 - [optional],Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,,  In the code shown below that calls the function updated_list(original): Which of the following... - Multiple Choice (Choose 1) - 1,  In the code shown below that calls the function updated_list(original): Which of the following... - Multiple Choice (Choose 1) - 2,  In the code shown below that calls the function updated_list(original): Which of the following... - Multiple Choice (Choose 1) - 5,  In the code shown below that calls the function updated_list(original): Which of the following... - Justification - 1,  In the code shown below that calls the function updated_list(original): Which of the following... - Justification - 2,  In the code shown below that calls the function updated_list(original): Which of the following... - Justification - 5,  In the code shown below that calls the function updated_list(original): Which of the following... - comments - No Name - 1 - [optional],  In the code shown below that calls the function updated_list(original): Which of the following... - comments - No Name - 2 - [optional],  In the code shown below that calls the function updated_list(original): Which of the following... - comments - No Name - 5 - [optional],Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,,Which of the following choices shows a function that prints out the match pairings for this list... - Multiple Choice (Choose 1) - 1,Which of the following choices shows a function that prints out the match pairings for this list... - Multiple Choice (Choose 1) - 2,Which of the following choices shows a function that prints out the match pairings for this list... - Multiple Choice (Choose 1) - 5,Which of the following choices shows a function that prints out the match pairings for this list... - Justification - 1,Which of the following choices shows a function that prints out the match pairings for this list... - Justification - 2,Which of the following choices shows a function that prints out the match pairings for this list... - Justification - 5,Which of the following choices shows a function that prints out the match pairings for this list... - comments - No Name - 1 - [optional],Which of the following choices shows a function that prints out the match pairings for this list... - comments - No Name - 2 - [optional],Which of the following choices shows a function that prints out the match pairings for this list... - comments - No Name - 5 - [optional],Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Score,
1,"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""QID64_TEXT""}","{""ImportId"":""QID66""}",,"{""ImportId"":""QID60#1_1""}","{""ImportId"":""QID60#1_2""}","{""ImportId"":""QID60#1_5""}","{""ImportId"":""QID60#2_1""}","{""ImportId"":""QID60#2_2""}","{""ImportId"":""QID60#2_5""}","{""ImportId"":""QID60#3_1_1""}","{""ImportId"":""QID60#3_2_1""}","{""ImportId"":""QID60#3_5_1""}","{""ImportId"":""QID71_FIRST_CLICK""}","{""ImportId"":""QID71_LAST_CLICK""}","{""ImportId"":""QID71_PAGE_SUBMIT""}","{""ImportId"":""QID71_CLICK_COUNT""}",,"{""ImportId"":""QID68#1_1""}","{""ImportId"":""QID68#1_2""}","{""ImportId"":""QID68#1_5""}","{""ImportId"":""QID68#2_1""}","{""ImportId"":""QID68#2_2""}","{""ImportId"":""QID68#2_5""}","{""ImportId"":""QID68#3_1_1""}","{""ImportId"":""QID68#3_2_1""}","{""ImportId"":""QID68#3_5_1""}","{""ImportId"":""QID70_FIRST_CLICK""}","{""ImportId"":""QID70_LAST_CLICK""}","{""ImportId"":""QID70_PAGE_SUBMIT""}","{""ImportId"":""QID70_CLICK_COUNT""}",,"{""ImportId"":""QID72#1_1""}","{""ImportId"":""QID72#1_2""}","{""ImportId"":""QID72#1_5""}","{""ImportId"":""QID72#2_1""}","{""ImportId"":""QID72#2_2""}","{""ImportId"":""QID72#2_5""}","{""ImportId"":""QID72#3_1_1""}","{""ImportId"":""QID72#3_2_1""}","{""ImportId"":""QID72#3_5_1""}","{""ImportId"":""QID73_FIRST_CLICK""}","{""ImportId"":""QID73_LAST_CLICK""}","{""ImportId"":""QID73_PAGE_SUBMIT""}","{""ImportId"":""QID73_CLICK_COUNT""}",,"{""ImportId"":""QID77#1_1""}","{""ImportId"":""QID77#1_2""}","{""ImportId"":""QID77#1_5""}","{""ImportId"":""QID77#2_1""}","{""ImportId"":""QID77#2_2""}","{""ImportId"":""QID77#2_5""}","{""ImportId"":""QID77#3_1_1""}","{""ImportId"":""QID77#3_2_1""}","{""ImportId"":""QID77#3_5_1""}","{""ImportId"":""QID78_FIRST_CLICK""}","{""ImportId"":""QID78_LAST_CLICK""}","{""ImportId"":""QID78_PAGE_SUBMIT""}","{""ImportId"":""QID78_CLICK_COUNT""}",,"{""ImportId"":""QID79#1_1""}","{""ImportId"":""QID79#1_2""}","{""ImportId"":""QID79#1_5""}","{""ImportId"":""QID79#2_1""}","{""ImportId"":""QID79#2_2""}","{""ImportId"":""QID79#2_5""}","{""ImportId"":""QID79#3_1_1""}","{""ImportId"":""QID79#3_2_1""}","{""ImportId"":""QID79#3_5_1""}","{""ImportId"":""QID80_FIRST_CLICK""}","{""ImportId"":""QID80_LAST_CLICK""}","{""ImportId"":""QID80_PAGE_SUBMIT""}","{""ImportId"":""QID80_CLICK_COUNT""}",,"{""ImportId"":""QID81#1_1""}","{""ImportId"":""QID81#1_2""}","{""ImportId"":""QID81#1_5""}","{""ImportId"":""QID81#2_1""}","{""ImportId"":""QID81#2_2""}","{""ImportId"":""QID81#2_5""}","{""ImportId"":""QID81#3_1_1""}","{""ImportId"":""QID81#3_2_1""}","{""ImportId"":""QID81#3_5_1""}","{""ImportId"":""QID82_FIRST_CLICK""}","{""ImportId"":""QID82_LAST_CLICK""}","{""ImportId"":""QID82_PAGE_SUBMIT""}","{""ImportId"":""QID82_CLICK_COUNT""}",,"{""ImportId"":""QID83#1_1""}","{""ImportId"":""QID83#1_2""}","{""ImportId"":""QID83#1_5""}","{""ImportId"":""QID83#2_1""}","{""ImportId"":""QID83#2_2""}","{""ImportId"":""QID83#2_5""}","{""ImportId"":""QID83#3_1_1""}","{""ImportId"":""QID83#3_2_1""}","{""ImportId"":""QID83#3_5_1""}","{""ImportId"":""QID84_FIRST_CLICK""}","{""ImportId"":""QID84_LAST_CLICK""}","{""ImportId"":""QID84_PAGE_SUBMIT""}","{""ImportId"":""QID84_CLICK_COUNT""}",,"{""ImportId"":""QID85#1_1""}","{""ImportId"":""QID85#1_2""}","{""ImportId"":""QID85#1_5""}","{""ImportId"":""QID85#2_1""}","{""ImportId"":""QID85#2_2""}","{""ImportId"":""QID85#2_5""}","{""ImportId"":""QID85#3_1_1""}","{""ImportId"":""QID85#3_2_1""}","{""ImportId"":""QID85#3_5_1""}","{""ImportId"":""QID86_FIRST_CLICK""}","{""ImportId"":""QID86_LAST_CLICK""}","{""ImportId"":""QID86_PAGE_SUBMIT""}","{""ImportId"":""QID86_CLICK_COUNT""}","{""ImportId"":""SC_73UUcyHkd4JmA74""}",
2,,,,,,,,ideal,Section 1: 8:00 AM - 9:15 AM  with Pablo Frank,,Correct,Incorrect,Incorrect,This is correct,The order in which the functions are called causes a different printout,Incorrect syntax in function call causes an error, , , ,10.199,202.929,206.916,20,,Correct,Incorrect,Incorrect,This is correct,An argument in the function call causes an error inside the function,Attempt to access local variables from outside their scope, , , ,124.688,293.709,355.304,20,,Correct,Incorrect,Incorrect,This is correct,A condition inside an if statement is logically incorrect,Logic error: the structure does not require all conditions to pass (and it should), , , ,52.842,124.643,195.401,9,,Correct,Incorrect,Incorrect,This is correct,Logic error: there is no way to exit the loop,Syntax error: the loop condition cannot be tested, , , ,45.452,314.913,316.531,18,,Correct,Incorrect,Incorrect,This is correct,Syntax error: the iteration is incorrectly defined,The code syntax is correct but it produces a different result, , , ,94.167,399.095,426.739,42,,Correct,Incorrect,Incorrect,This is correct,Logic error: Printed rows don't stop at the correct letters,Logic error: Printed rows have correct length but wrong symbols, , , ,9.462,525.95,529.068,28,,Correct,Incorrect,Incorrect,This is correct,Logic error: Logic error: the output list is not being updated after the copy,Logic error: Logic error: the original list is also being modified, , , ,118.745,719.357,812.708,29,,Correct,Incorrect,Incorrect,This is correct,Logic error: the conditional does not exclude enough printout values,Logic error: the conditional excludes too many printout values, , , ,32.417,457.575,460.351,28,80,
3,4/10/23 8:00,4/10/23 8:26,100,1550,TRUE,4/10/23 8:26,R_ByUbicrdB0NLm3n,apricot-pea,Section 1: 8:00 AM - 9:15 AM  with Pablo Frank,10.0,3,1,1,1,2,2,0,0,0,57.191,198.009,201.192,11,1.0,0,1,0,0,0,0,0,0,0,75.991,258.601,263.078,11,10.0,3,1,1,1,2,2,0,0,0,97.938,193.795,198.163,13,1.0,0,1,0,0,0,0,0,0,0,61.671,106.367,109.847,6,3.0,0,1,0,0,2,0,0,0,0,70.918,123.915,124.469,9,1.0,0,0,1,0,0,0,0,0,0,45.837,77.781,81.725,10,3.0,0,1,0,0,2,0,0,0,0,95.393,106.516,120.046,8,8.0,3,1,1,1,0,2,0,0,0,56.363,324.875,341.994,19,37,37.0
4,4/10/23 8:23,4/10/23 8:54,100,1906,TRUE,4/10/23 8:54,R_2azYxRoVTIDPf7J,apricot-tomato,Section 1: 8:00 AM - 9:15 AM  with Pablo Frank,1.0,0,0,1,0,0,0,0,0,0,80.095,371.798,373.264,14,8.0,3,1,1,1,0,2,0,0,0,123.329,266.504,268.131,21,3.0,0,1,0,0,2,0,0,0,0,94.624,144.075,146.357,6,6.0,3,1,1,1,0,0,0,0,0,104.624,153.271,171.561,9,6.0,3,1,1,1,0,0,0,0,0,210.837,324.584,326.29,15,8.0,3,1,1,1,2,0,0,0,0,68.138,119.879,121.271,11,1.0,0,1,0,0,0,0,0,0,0,4.397,223.296,225.009,14,1.0,0,0,1,0,0,0,0,0,0,123.574,216.321,218.391,10,34,34.0
5,4/10/23 8:00,4/10/23 8:51,100,3067,TRUE,4/10/23 8:51,R_1msE7ICEAwqq8YH,aquamarine-cucumber,Section 1: 8:00 AM - 9:15 AM  with Pablo Frank,10.0,3,1,1,1,2,2,0,0,0,85.371,280.491,289.546,6,10.0,3,1,1,1,2,2,0,0,0,249.87,666.885,676.459,9,10.0,3,1,1,1,2,2,0,0,0,33.003,323.315,333.439,8,3.0,0,0,1,0,0,2,0,0,0,9.057,307.8,331.632,7,3.0,0,0,1,0,0,2,0,0,0,79.996,317.821,325.361,6,10.0,3,1,1,1,2,2,0,0,0,66.241,148.218,150.391,4,8.0,3,1,1,1,0,2,0,0,0,85.734,352.279,354.207,5,10.0,3,1,1,1,2,2,0,0,0,144.409,511.755,514.43,6,64,64.0
6,4/10/23 8:01,4/10/23 9:18,100,4630,TRUE,4/10/23 9:18,R_3hzGiYr3z0yC6Ol,bittersweet-potato,Section 1: 8:00 AM - 9:15 AM  with Pablo Frank,8.0,3,1,1,1,2,0,0,0,0,85.719,200.538,202.6,10,10.0,3,1,1,1,2,2,0,0,0,151.664,858.191,861.613,36,10.0,3,1,1,1,2,2,0,0,0,104.977,720.301,737.934,19,5.0,3,0,1,1,0,0,0,0,0,57.944,616.791,621.433,16,3.0,0,1,0,0,2,0,0,0,0,73.03,299.881,302.059,10,3.0,0,1,0,0,2,0,0,0,0,91.394,591.952,592.448,21,1.0,0,0,1,0,0,0,0,0,0,73.114,793.838,797.86,32,10.0,3,1,1,1,2,2,0,0,0,14.684,465.427,468.022,15,50,50.0
7,4/10/23 7:59,4/10/23 9:04,100,3884,TRUE,4/10/23 9:04,R_2dgwR5A6cia2sI1,bittersweet-tubers,Section 1: 8:00 AM - 9:15 AM  with Pablo Frank,3.0,0,0,1,0,0,2,0,0,0,48.934,201.607,204.711,8,10.0,3,1,1,1,2,2,0,0,0,169.592,473.845,479.327,8,10.0,3,1,1,1,2,2,0,0,0,89.513,259.586,266.372,9,10.0,3,1,1,1,2,2,0,0,0,124.888,463.078,466.823,15,6.0,3,1,1,1,0,0,0,0,0,65.09,245.637,247.747,11,10.0,3,1,1,1,2,2,0,0,0,255.46,565.563,566.097,10,3.0,0,0,1,0,0,2,0,0,0,316.67,669.552,671.438,14,6.0,3,1,1,1,0,0,0,0,0,250.137,902.617,918.818,19,58,58.0
8,4/10/23 7:59,4/10/23 8:57,100,3439,TRUE,4/10/23 8:57,R_1k1XCee7XuRE1CR,black-turnip,Section 1: 8:00 AM - 9:15 AM  with Pablo Frank,10.0,3,1,1,1,2,2,0,0,0,28.121,216.548,218.429,20,10.0,3,1,1,1,2,2,0,0,0,85.857,351.103,353.459,12,10.0,3,1,1,1,2,2,0,0,0,132.52,305.607,307.625,15,10.0,3,1,1,1,2,2,0,0,0,48.608,662.879,665.854,21,8.0,3,1,1,1,2,0,0,0,0,82.267,755.385,757.883,48,10.0,3,1,1,1,2,2,0,0,0,84.147,354.742,356.663,14,8.0,3,1,1,1,2,0,0,0,0,45.121,291.022,292.947,16,10.0,3,1,1,1,2,2,0,0,0,71.034,351.385,355.074,14,76,76.0
9,4/10/23 7:59,4/10/23 9:16,100,4609,TRUE,4/10/23 9:16,R_2foNwMie9Y1XdJB,blue-watercress,Section 1: 8:00 AM - 9:15 AM  with Pablo Frank,10.0,3,1,1,1,2,2,0,0,0,155.681,299.548,332.996,10,10.0,3,1,1,1,2,2,0,0,0,177.383,423.656,444.9,14,10.0,3,1,1,1,2,2,0,0,0,89.268,436.645,447.62,20,3.0,0,1,0,0,2,0,0,0,0,153.895,966.706,991.377,31,6.0,3,1,1,1,0,0,0,0,0,117.336,612.341,621.73,15,10.0,3,1,1,1,2,2,0,0,0,69.84,559.914,565.356,12,1.0,0,0,1,0,0,0,0,0,0,66.919,521.144,524.35,15,10.0,3,1,1,1,2,2,0,0,0,50.468,632.851,635.256,11,60,60.0
