"","key","Section","Question1","Question3","Question4","Question6","Question6_6_TEXT","Question7","Question8_1","Question8_2","Question8_3","Question9_1","Question9_2","Question9_3","Question10","Question11_1","Question11_2","Question11_3","Question11_4","Question11_5","Question11_6","Question12_1","Question12_2","Question12_3","Question12_4","Question12_5","Question12_6","Question12_7","Question13_1","Question13_2","Question13_3","Question13_4","Question13_5","Question14_1","Question14_2","Question15_1","Question15_2","Question15_3","Question15_4","Question16_1","Question16_2","Question16_3","Question16_4","Question17_1","Question17_2","Question17_3","Question17_4","Question18_1","Question18_2","Question18_3","Question18_4","Question18_5","Question18_6","Question18_7","Question19_1","Question19_2","Question19_3","Question19_4","Question19_5"
"3","betrayed-celeriac",3,"","Section 3: Monday 3:05 PM - 4:20 PM; Wednesday/Friday 2:45 PM - 4:00 PM with Pablo Frank","","","","I have declared a major","Somewhat agree",NA,"Somewhat agree","Strongly disagree","Somewhat agree",NA,"Quantitative economics","Somewhat agree","Strongly agree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat disagree","Somewhat disagree","Sometimes","Often","Sometimes","Sometimes","Often","Between 1 and 2 hours","Less than 1 hour","Somewhat disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Somewhat disagree","Somewhat disagree","Strongly disagree","Neither agree nor disagree","Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Somewhat disagree","Strongly disagree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat disagree"
"4","bittersweet-nut",1,"","Section 1: 9:25 AM - 10:40 AM with Razieh Fathi","","","","I have not declared a major","Strongly agree",NA,"Strongly disagree",NA,NA,NA,"Computer Science Major","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat disagree","Neither agree nor disagree","Strongly disagree","Somewhat disagree","Strongly agree","Strongly agree","Neither agree nor disagree","Somewhat agree","Strongly agree","Sometimes","Often","Often","Always","Always","Between 1 and 5 hours","Between 1 and 5 hours","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","Neither agree nor disagree","Strongly agree","Neither agree nor disagree","Neither agree nor disagree","Strongly disagree","Strongly disagree","Neither agree nor disagree"
"5","defenseless-loquat",3,"","Section 3: Monday 3:05 PM - 4:20 PM; Wednesday/Friday 2:45 PM - 4:00 PM with Pablo Frank","","","","I have declared a major",NA,NA,NA,"Strongly disagree","Strongly disagree","Strongly disagree","","Neither agree nor disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Strongly agree","Sometimes","Often","Sometimes","Often","Sometimes","Between 1 and 5 hours","Between 1 and 5 hours","Somewhat agree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","Neither agree nor disagree","Strongly disagree","Strongly agree","Somewhat agree","Somewhat disagree","Strongly disagree","Somewhat agree","Somewhat agree","Strongly agree","Strongly agree","Neither agree nor disagree"
"6","didactic-dragonfruit",3,"","Section 3: Monday 3:05 PM - 4:20 PM; Wednesday/Friday 2:45 PM - 4:00 PM with Pablo Frank","","","","I have declared a major,I have declared a minor","Strongly disagree","Somewhat disagree","Somewhat agree","Strongly disagree","Strongly disagree","Somewhat disagree","","Somewhat agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly disagree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat agree","Sometimes","Sometimes","Always","Sometimes","Always","Between 1 and 5 hours","Less than 1 hour","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Somewhat disagree","Somewhat agree","Neither agree nor disagree","Strongly disagree","Strongly agree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly agree","Somewhat disagree","Neither agree nor disagree","Strongly agree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree"
"7","disbelieving-mango",3,"","Section 3: Monday 3:05 PM - 4:20 PM; Wednesday/Friday 2:45 PM - 4:00 PM with Pablo Frank","","","","I have declared a major,I have declared a second major,I have declared a program of study or concentration",NA,NA,"Strongly agree",NA,NA,NA,"","Somewhat disagree","Strongly disagree","Somewhat agree","Somewhat disagree","Neither agree nor disagree","Strongly agree","Neither agree nor disagree","Somewhat disagree","Strongly agree","Strongly agree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Sometimes","Sometimes","Often","Often","Sometimes","Between 1 and 2 hours","Between 1 and 2 hours","Somewhat agree","Neither agree nor disagree","Strongly agree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","Somewhat disagree","Strongly disagree","Somewhat disagree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Neither agree nor disagree","Somewhat agree","Strongly agree","Neither agree nor disagree","Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree"
"8","dreamy-mangetout",3,"","Section 3: Monday 3:05 PM - 4:20 PM; Wednesday/Friday 2:45 PM - 4:00 PM with Pablo Frank","","","","I have declared a major","Strongly disagree","Strongly disagree","Strongly agree","Strongly disagree","Strongly disagree","Strongly disagree","Biological Science","Somewhat agree","Neither agree nor disagree","Strongly agree","Strongly agree","Somewhat agree","Neither agree nor disagree","Somewhat disagree","Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Strongly agree","Sometimes","Rarely","Sometimes","Sometimes","Sometimes","Between 1 and 2 hours","Less than 1 hour","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat disagree","Strongly disagree","Strongly agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat disagree"
"9","fatigued-rosemary",3,"","Section 3: Monday 3:05 PM - 4:20 PM; Wednesday/Friday 2:45 PM - 4:00 PM with Pablo Frank","","","","I have not declared a major","Strongly agree","Somewhat agree","Strongly disagree","Strongly agree","Strongly agree","Somewhat agree","N/A","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Somewhat disagree","Strongly disagree","Always","Always","Always","Always","Always","Less than 1 hour","Less than 1 hour","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat disagree","Somewhat agree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Strongly disagree","Somewhat agree","Somewhat agree","Strongly agree","Neither agree nor disagree","Somewhat disagree"
"10","fine-dragonfruit",3,"","Section 3: Monday 3:05 PM - 4:20 PM; Wednesday/Friday 2:45 PM - 4:00 PM with Pablo Frank","","","","I have not declared a major","Strongly disagree","Strongly disagree","Strongly agree","Strongly disagree","Strongly disagree","Strongly disagree","Education and Math majors","Neither agree nor disagree","Somewhat disagree","Neither agree nor disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat disagree","Sometimes","Rarely","Rarely","Sometimes","Rarely","Between 1 and 2 hours","Less than 1 hour","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Neither agree nor disagree","Somewhat agree","Strongly agree","Somewhat disagree","Somewhat disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly agree","Somewhat agree","Strongly agree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree"
"11","inclusive-asparagus",3,"","Section 3: Monday 3:05 PM - 4:20 PM; Wednesday/Friday 2:45 PM - 4:00 PM with Pablo Frank","","","","I have not declared a major","Strongly disagree","Strongly disagree","Strongly agree","Strongly disagree","Strongly disagree","Strongly disagree","Psychology with possibly a Education minor","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Sometimes","Often","Sometimes","Often","Often","Between 1 and 5 hours","Between 1 and 2 hours","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree","Somewhat agree","Strongly disagree"
"12","leery-pomelo",3,"","Section 3: Monday 3:05 PM - 4:20 PM; Wednesday/Friday 2:45 PM - 4:00 PM with Pablo Frank","","","","I have declared a major","Somewhat agree","Somewhat agree","Strongly disagree","Somewhat disagree","Somewhat agree","Somewhat agree","EAL","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Strongly disagree","Always","Often","Always","Often","Always","Between 1 and 2 hours","Less than 1 hour","Neither agree nor disagree","Somewhat disagree","Strongly disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","Strongly disagree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat disagree","Strongly disagree","Strongly disagree","Strongly disagree","Somewhat agree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat disagree"
