"","key","Section","Question1","Question3","Question5","Question6","Question6_7_TEXT","Question7","Question8","Question8_6_TEXT","Question9","Question10_1","Question10_2","Question11","Question12","Question13","Question14_1","Question14_2","Question14_3","Question15_1","Question15_2","Question15_3","Question15_4","Question15_5","Question15_6","Question15_7","Question15_8","Question15_9","Question16_1","Question16_2","Question16_3","Question16_4","Question16_5","Question17_1","Question17_2","Question17_3","Question17_4","Question17_5","Question18_1","Question18_2","Question18_3","Question18_4","Question19_1","Question19_2","Question19_3","Question19_4","Question20_1","Question20_2","Question20_3","Question20_4","Question21_1","Question21_2","Question21_3","Question21_4","Question22_1","Question22_2","Question22_3","Question22_4","Question22_5","Question22_6"
"3","honored-tamarillo",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,5,4,1,3,4,5,4,5,3,4,2,2,2,3,4,4,1,4,NA,2,4,1,2,2,2,1,5,5,3,1,2,2,2,2,2,3,4,4,4,1
"4","distressed-tamarillo",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,4,4,3,2,2,5,5,5,4,5,4,1,4,4,2,5,5,4,4,4,2,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","dreamy-mangetout",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,4,2,1,1,5,5,5,3,2,2,2,4,4,4,3,4,3,2,2,1,NA,2,2,3,3,4,5,5,5,2,4,3,3,3,4,2,3,3,4,5
"6","manipulated-sage",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,1,1,1,4,3,4,3,4,2,4,3,4,3,4,3,4,4,4,2,3,2,3,2,1,NA,1,4,4,4,4,4,4,4,1,3,2,2,3,2,4,3,2,4,3
"7","inclusive-asparagus",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,NA,NA,NA,3,2,1,2,4,4,3,2,2,4,2,3,4,4,2,4,3,3,3,3,3,3,2,1,2,1,5,5,4,4,4,4,4,4,2,2,2,2,4,4,4,4,4,4
"8","framed-pineapple",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,NA,NA,NA,3,5,3,4,5,4,3,4,5,5,5,5,4,4,3,4,5,3,3,3,4,3,NA,NA,NA,NA,3,3,3,4,5,5,5,5,2,2,2,2,5,5,2,5,4,5
"9","accused-lime",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,4,5,2,2,2,5,5,5,5,2,2,5,5,2,2,3,4,4,3,NA,2,NA,1,5,5,5,5,5,5,5,5,1,1,1,1,4,5,2,2,3,4
"10","fatigued-rosemary",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,NA,NA,NA,3,5,3,4,5,3,4,4,5,5,5,5,4,5,2,2,5,4,5,4,5,5,2,1,NA,1,4,4,4,4,5,5,1,1,4,4,4,4,5,3,5,5,5,5
"11","pessimistic-cilantro",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,3,2,2,4,3,4,4,5,4,4,3,2,2,2,2,2,4,3,3,NA,1,4,1,2,2,4,4,4,4,4,2,4,2,4,4,2,2,4,3,4,4
"12","tacky-tangerine",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,NA,NA,NA,2,5,2,2,5,2,1,1,4,5,5,5,1,3,2,4,3,2,3,5,4,4,NA,2,NA,1,5,5,2,3,5,5,5,5,2,1,1,4,4,4,4,3,2,5
