"","X","StartDate","EndDate","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","key","Section","q1_total","q1a","q1b","q1c","j1a","j1b","j1c","c1a","c1b","c1c","T1_First.Click","T1_Last.Click","T1_Page.Submit","T1_Click.Count","q2_total","q2a","q2b","q2c","j2a","j2b","j2c","c2a","c2b","c2c","T2_First.Click","T2_Last.Click","T2_Page.Submit","T2_Click.Count","q3_total","q3a","q3b","q3c","j3a","j3b","j3c","c3a","c3b","c3c","T3_First.Click","T3_Last.Click","T3_Page.Submit","T3_Click.Count","q4_total","q4a","q4b","q4c","j4a","j4b","j4c","c4a","c4b","c4c","T4_First.Click","T4_Last.Click","T4_Page.Submit","T4_Click.Count","q5_total","q5a","q5b","q5c","j5a","j5b","j5c","c5a","c5b","c5c","T5_First.Click","T5_Last.Click","T5_Page.Submit","T5_Click.Count","q6_total","q6a","q6b","q6c","j6a","j6b","j6c","c6a","c6b","c6c","T6_First.Click","T6_Last.Click","T6_Page.Submit","T6_Click.Count","q7_total","q7a","q7b","q7c","j7a","j7b","j7c","c7a","c7b","c7c","T7_First.Click","T7_Last.Click","T7_Page.Submit","T7_Click.Count","q8_total","q8a","q8b","q8c","j8a","j8b","j8c","c8a","c8b","c8c","T8_First.Click","T8_Last.Click","T8_Page.Submit","T8_Click.Count","SC0","score_check","mcq_points","justification_points","j_gain"
"1",0,"Start Date","End Date","Progress","Duration (in seconds)","Finished","Recorded Date","Response ID","What is your Last Name?","What section are you in?",NA,NA,NA,NA,NA,NA,NA,"Which of the choices causes the printing of the number 9? - comments - No Name - 1 - [optional]","Which of the choices causes the printing of the number 9? - comments - No Name - 2 - [optional]","Which of the choices causes the printing of the number 9? - comments - No Name - 5 - [optional]","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count",NA,NA,NA,NA,NA,NA,NA,"Which of the following choices correctly calculates 1) the number of 9-hour shifts (an interval o... - comments - No Name - 1 - [optional]","Which of the following choices correctly calculates 1) the number of 9-hour shifts (an interval o... - comments - No Name - 2 - [optional]","Which of the following choices correctly calculates 1) the number of 9-hour shifts (an interval o... - comments - No Name - 5 - [optional]","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count",NA,NA,NA,NA,NA,NA,NA,"Which of the following choices correctly calculates and prints the same result as the expression... - comments - No Name - 1 - [optional]","Which of the following choices correctly calculates and prints the same result as the expression... - comments - No Name - 2 - [optional]","Which of the following choices correctly calculates and prints the same result as the expression... - comments - No Name - 5 - [optional]","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count",NA,NA,NA,NA,NA,NA,NA,"Using the following three function definitions: Which of the following three choices uses the fun... - comments - No Name - 1 - [optional]","Using the following three function definitions: Which of the following three choices uses the fun... - comments - No Name - 2 - [optional]","Using the following three function definitions: Which of the following three choices uses the fun... - comments - No Name - 5 - [optional]","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count",NA,NA,NA,NA,NA,NA,NA,"Which of the following three choices causes the following printout: - comments - No Name - 1 - [optional]","Which of the following three choices causes the following printout: - comments - No Name - 2 - [optional]","Which of the following three choices causes the following printout: - comments - No Name - 5 - [optional]","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count",NA,NA,NA,NA,NA,NA,NA,"Using the following two function definitions: Which of the following three choices causes the fol... - comments - No Name - 1 - [optional]","Using the following two function definitions: Which of the following three choices causes the fol... - comments - No Name - 2 - [optional]","Using the following two function definitions: Which of the following three choices causes the fol... - comments - No Name - 5 - [optional]","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count",NA,NA,NA,NA,NA,NA,NA,"Which of the following choices shows a function that is able to determine if an input string has... - comments - No Name - 1 - [optional]","Which of the following choices shows a function that is able to determine if an input string has... - comments - No Name - 2 - [optional]","Which of the following choices shows a function that is able to determine if an input string has... - comments - No Name - 5 - [optional]","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count",NA,NA,NA,NA,NA,NA,NA,"Given the following base code: Which of the following choices is logically equivalent: - comments - No Name - 1 - [optional]","Given the following base code: Which of the following choices is logically equivalent: - comments - No Name - 2 - [optional]","Given the following base code: Which of the following choices is logically equivalent: - comments - No Name - 5 - [optional]","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count",NA,NA,0,0,NA
"2",1,"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""QID64_TEXT""}","{""ImportId"":""QID66""}",NA,NA,NA,NA,NA,NA,NA,"{""ImportId"":""QID1#3_1_1""}","{""ImportId"":""QID1#3_2_1""}","{""ImportId"":""QID1#3_5_1""}","{""ImportId"":""QID17_FIRST_CLICK""}","{""ImportId"":""QID17_LAST_CLICK""}","{""ImportId"":""QID17_PAGE_SUBMIT""}","{""ImportId"":""QID17_CLICK_COUNT""}",NA,NA,NA,NA,NA,NA,NA,"{""ImportId"":""QID53#2_1_1""}","{""ImportId"":""QID53#2_2_1""}","{""ImportId"":""QID53#2_5_1""}","{""ImportId"":""QID54_FIRST_CLICK""}","{""ImportId"":""QID54_LAST_CLICK""}","{""ImportId"":""QID54_PAGE_SUBMIT""}","{""ImportId"":""QID54_CLICK_COUNT""}",NA,NA,NA,NA,NA,NA,NA,"{""ImportId"":""QID55#3_1_1""}","{""ImportId"":""QID55#3_2_1""}","{""ImportId"":""QID55#3_5_1""}","{""ImportId"":""QID56_FIRST_CLICK""}","{""ImportId"":""QID56_LAST_CLICK""}","{""ImportId"":""QID56_PAGE_SUBMIT""}","{""ImportId"":""QID56_CLICK_COUNT""}",NA,NA,NA,NA,NA,NA,NA,"{""ImportId"":""QID60#3_1_1""}","{""ImportId"":""QID60#3_2_1""}","{""ImportId"":""QID60#3_5_1""}","{""ImportId"":""QID71_FIRST_CLICK""}","{""ImportId"":""QID71_LAST_CLICK""}","{""ImportId"":""QID71_PAGE_SUBMIT""}","{""ImportId"":""QID71_CLICK_COUNT""}",NA,NA,NA,NA,NA,NA,NA,"{""ImportId"":""QID69#3_1_1""}","{""ImportId"":""QID69#3_2_1""}","{""ImportId"":""QID69#3_5_1""}","{""ImportId"":""QID59_FIRST_CLICK""}","{""ImportId"":""QID59_LAST_CLICK""}","{""ImportId"":""QID59_PAGE_SUBMIT""}","{""ImportId"":""QID59_CLICK_COUNT""}",NA,NA,NA,NA,NA,NA,NA,"{""ImportId"":""QID68#3_1_1""}","{""ImportId"":""QID68#3_2_1""}","{""ImportId"":""QID68#3_5_1""}","{""ImportId"":""QID70_FIRST_CLICK""}","{""ImportId"":""QID70_LAST_CLICK""}","{""ImportId"":""QID70_PAGE_SUBMIT""}","{""ImportId"":""QID70_CLICK_COUNT""}",NA,NA,NA,NA,NA,NA,NA,"{""ImportId"":""QID72#3_1_1""}","{""ImportId"":""QID72#3_2_1""}","{""ImportId"":""QID72#3_5_1""}","{""ImportId"":""QID73_FIRST_CLICK""}","{""ImportId"":""QID73_LAST_CLICK""}","{""ImportId"":""QID73_PAGE_SUBMIT""}","{""ImportId"":""QID73_CLICK_COUNT""}",NA,NA,NA,NA,NA,NA,NA,"{""ImportId"":""QID74#3_1_1""}","{""ImportId"":""QID74#3_2_1""}","{""ImportId"":""QID74#3_5_1""}","{""ImportId"":""QID75_FIRST_CLICK""}","{""ImportId"":""QID75_LAST_CLICK""}","{""ImportId"":""QID75_PAGE_SUBMIT""}","{""ImportId"":""QID75_CLICK_COUNT""}",NA,NA,0,0,NA
"3",2,"","","","","","","","ideal","Section 1: 8:00 AM - 9:15 AM with Pablo Frank",NA,NA,NA,NA,NA,NA,NA,"","","","39.566","195.515","223.007","11",NA,NA,NA,NA,NA,NA,NA,"","","","57.187","257.774","290.09","14",NA,NA,NA,NA,NA,NA,NA,"","","","146.583","472.328","489.885","24",NA,NA,NA,NA,NA,NA,NA,"","","","36.439","302.856","308.571","16",NA,NA,NA,NA,NA,NA,NA,"","","","67.548","626.943","665.74","21",NA,NA,NA,NA,NA,NA,NA,"","","","253.09","430.623","534.713","13",NA,NA,NA,NA,NA,NA,NA,"","","","127.774","1065.519","1073.333","22",NA,NA,NA,NA,NA,NA,NA,"","","","79.883","157.587","185.44","11",80,NA,0,0,Inf
"4",3,"3/6/23 7:59","3/6/23 8:30","100","1878","TRUE","3/6/23 8:30","R_33fiCRVNQC5D0US","apricot-pea","Section 1: 8:00 AM - 9:15 AM  with Pablo Frank",10,3,1,1,1,2,2,"0","0","0","7.391","99.374","134.46","7",8,3,1,1,1,0,2,"0","0","0","75.055","156.282","181.828","6",10,3,1,1,1,2,2,"0","0","0","94.636","281.698","286.712","13",8,3,1,1,1,2,0,"0","0","0","123.663","255.795","261.533","9",3,0,1,0,0,2,0,"0","0","0","61.646","176.197","184.326","10",8,3,1,1,1,0,2,"0","0","0","138.893","388.442","405.587","10",3,0,0,1,0,0,2,"0","0","0","68.589","203.367","216.411","9",10,3,1,1,1,2,2,"0","0","0","71.873","150.19","161.239","8",60,60,32,28,87.5
"5",4,"3/8/23 12:16","3/8/23 13:13","100","3412","TRUE","3/8/23 13:13","R_1JL1YERzu4hNY55","apricot-tomato","Section 1: 8:00 AM - 9:15 AM  with Pablo Frank",8,3,1,1,1,0,2,"0","0","0","92.072","214.89","370.025","11",6,3,1,1,1,0,0,"0","0","0","313.816","678.651","771.542","18",10,3,1,1,1,2,2,"0","0","0","128.544","413.451","416.351","10",8,3,1,1,1,2,0,"0","0","0","122.842","244.5","247.68","16",3,0,0,1,0,0,2,"0","0","0","145.266","391.514","405.307","20",6,3,1,1,1,0,0,"0","0","0","190.313","566.415","571.486","15",1,0,0,1,0,0,0,"0","0","0","105.087","277.367","282.621","15",8,3,1,1,1,0,2,"0","0","0","99.802","239.378","244.869","12",50,50,32,18,56.25
"6",5,"3/6/23 8:01","3/6/23 8:40","100","2367","TRUE","3/6/23 8:40","R_5BwThlUH82TSbuh","aquamarine-cucumber","Section 1: 8:00 AM - 9:15 AM  with Pablo Frank",8,3,1,1,1,2,0,"0","0","0","11.294","173.277","188.547","5",10,3,1,1,1,2,2,"0","0","0","45.302","379.187","387.172","5",3,0,0,1,0,0,2,"0","0","0","59.696","150.813","165.123","4",10,3,1,1,1,2,2,"0","0","0","147.636","181.338","186.926","4",3,0,0,1,0,0,2,"0","0","0","80.266","263.31","274.809","4",8,3,1,1,1,0,2,"0","0","0","81.982","191.822","211.454","5",3,0,1,0,0,2,0,"0","0","0","61.441","594.642","605.964","6",10,3,1,1,1,2,2,"0","0","0","147.551","255.083","267.159","7",55,55,28,27,96.4285714285714
"7",6,"3/6/23 8:00","3/6/23 8:31","100","1868","TRUE","3/6/23 8:31","R_1pyRRXqb1PJA9CC","bittersweet-potato","Section 1: 8:00 AM - 9:15 AM  with Pablo Frank",6,3,1,1,1,0,0,"0","0","0","47.702","192.265","209.819","9",8,3,1,1,1,0,2,"0","0","0","49.119","191.096","206.274","11",3,0,1,0,0,2,0,"0","0","0","84.174","221.864","264.586","5",3,0,0,1,0,0,2,"0","0","0","185.915","458.122","458.874","32",3,0,0,1,0,0,2,"0","0","0","20.851","66.276","110.216","5",6,3,1,1,1,0,0,"0","0","0","41.913","101.197","119.437","7",1,0,0,1,0,0,0,"0","0","0","63.167","161.916","184.205","7",8,3,1,1,1,2,0,"0","0","0","40.764","161.687","168.815","7",38,38,24,14,58.3333333333333
"8",7,"3/6/23 7:59","3/6/23 8:39","100","2434","TRUE","3/6/23 8:39","R_6Eh9Ms67bYalASB","bittersweet-tubers","Section 1: 8:00 AM - 9:15 AM  with Pablo Frank",10,3,1,1,1,2,2,"0","0","0","23.895","106.683","127.053","11",10,3,1,1,1,2,2,"0","0","0","36.186","194.147","230.723","12",10,3,1,1,1,2,2,"0","0","0","47.19","311.397","313.708","12",10,3,1,1,1,2,2,"0","0","0","166.674","198.594","204.921","7",10,3,1,1,1,2,2,"0","0","0","50.159","202.904","221.226","10",8,3,1,1,1,2,0,"0","0","0","79.036","184.887","198.79","11",8,3,1,1,1,2,0,"0","0","0","47.692","653.135","671.808","20",8,3,1,1,1,0,2,"0","0","0","58.197","365.401","372.733","13",74,74,40,34,85
"9",8,"3/6/23 7:59","3/6/23 8:46","100","2805","TRUE","3/6/23 8:46","R_28ZnDS2SeLY0FXv","black-turnip","Section 1: 8:00 AM - 9:15 AM  with Pablo Frank",8,3,1,1,1,0,2,"0","0","0","11.685","307.83","309.657","21",10,3,1,1,1,2,2,"0","0","0","46.239","213.415","239.064","13",10,3,1,1,1,2,2,"0","0","0","111.304","293.417","295.489","18",10,3,1,1,1,2,2,"0","0","0","73.808","269.609","271.738","14",10,3,1,1,1,2,2,"0","0","0","61.785","288.728","291.934","9",10,3,1,1,1,2,2,"0","0","0","109.458","348.53","351.22","16",8,3,1,1,1,2,0,"0","0","0","134.954","684.056","688.97","39",10,3,1,1,1,2,2,"0","0","0","59.795","186.737","225.379","13",76,76,40,36,90
"10",9,"3/6/23 7:59","3/6/23 9:01","100","3718","TRUE","3/6/23 9:01","R_1fZe5Mol6LTV7oc","blue-watercress","Section 1: 8:00 AM - 9:15 AM  with Pablo Frank",8,3,1,1,1,0,2,"0","0","0","65.504","462.768","474.188","17",10,3,1,1,1,2,2,"0","0","0","144.955","765.85","768.231","20",3,0,0,1,0,0,2,"0","0","0","32.906","272.907","304.888","18",10,3,1,1,1,2,2,"0","0","0","64.723","453.166","487.611","24",10,3,1,1,1,2,2,"0","0","0","44.594","556.092","565.939","29",10,3,1,1,1,2,2,"0","0","0","65.162","280.199","287.164","10",1,0,0,1,0,0,0,"0","0","0","94.305","591.593","622.707","13",10,3,1,1,1,2,2,"0","0","0","55.741","151.223","164.359","10",62,62,32,30,93.75
