"Key","Computing.Quiz","Basic.Syntax.Quiz","Functions.Quiz","Part.Prof","Part.Self","Part.Real","HW01.Real","HW02.Real","HW03.Real","HW04.Real","HW05.Real","HW06.Real","HW07.Real","HW.Grade","P1.Real","P1.Comments","P1.After.Comments","P1.New","P2.Real","P2.Comments","P2.After.Comments","P2.New","Team","FP.Ideas","FP.Draft","FP.Prototype","FP.Demo","FP.Code","FP.Grade","P3.Real","P3.Comments","P3.After.Comments","P3.New","P3.Predicted","Course.Total","Number.Grade","Letter.Grade"
"almond-lychee",87.5,50,"-",80,80,80,"100",100,100,"-",100,100,100,100,NA,"-",NA,NA,40,0,40,44,1,100,100,100,100,100,100,46,0,46,46,40,437.5,72.1,"S"
"apricot-tamarillo",87.5,100,"100",80,80,80,"100",100,100,"100",100,100,100,100,100,"0",100,100,100,0,100,100,4,100,100,100,100,100,100,86,0,86,86,100,787.5,94,"S"
"asparagus-raspberry",100,100,"100",85,85,85,"100",100,100,"100",100,100,100,100,80,"0",80,80,60,0,60,71.5,10,100,100,100,100,100,100,26,0,26,26,70,780,76.8,"S"
"blue-cucumber",87.5,100,"75",80,80,80,"100",98,100,"100",100,100,100,100,70,"0",70,75,70,0,70,77,6,100,100,100,100,100,100,70,0,70,70,70,730.5,84.4,"S"
"blue-fig",100,100,"100",90,80,87,"100",100,100,"100",100,100,100,100,100,"0",100,100,90,0,90,100,9,100,100,100,100,100,100,100,0,100,100,95,800,97.2,"S"
"blush-grape",87.5,100,"100",85,90,86.5,"100",100,100,"100",100,100,100,100,90,"0",90,95,90,0,90,99,2,100,100,100,100,100,100,90,0,90,90,90,777.5,94.7,"S"
"blush-redcurrant",87.5,100,"75",95,90,93.5,"100",100,100,"100",100,100,100,100,90,"0",90,95,100,0,100,100,5,100,100,100,100,100,100,66,0,66,66,95,752.5,92.3,"S"
"brown-quince",87.5,100,"100",85,85,85,"100",98,100,"100",100,100,100,100,80,"0",80,90,70,0,70,79.8,5,100,100,100,100,100,100,100,0,100,100,75,765.5,94.4,"S"
"cerise-satsuma",100,100,"100",100,95,98.5,"100",100,80,"100",100,100,100,100,80,"2.5",82.5,91.25,90,0,90,96.3,7,100,100,100,100,100,100,86,0,86,86,85,762.5,95,"S"
"chestnut-artichoke",100,100,"100",85,90,86.5,"100",100,100,"100",100,100,100,100,90,"0",90,95,100,0,100,100,8,100,100,100,100,100,100,86,0,86,86,95,790,94.2,"S"
"copper-horseradish",87.5,100,"100",100,100,100,"100",100,80,"100",100,100,100,100,80,"0",80,90,100,0,100,100,7,100,100,100,100,100,100,86,0,86,86,90,747.5,95.5,"S"
"denim-asparagus",100,100,"100",85,95,88,"100",100,80,"100",100,100,100,100,80,"0",80,90,90,0,90,96.3,7,100,100,100,100,100,100,86,0,86,86,85,760,93.2,"S"
"eggplant-daikon",100,100,"100",100,95,98.5,"100",100,80,"100",100,100,100,100,100,"0",100,100,100,0,100,100,3,100,100,100,100,100,100,90,0,90,90,100,780,97.4,"S"
"gold-blackcurrant",87.5,100,"100",100,100,100,"100",100,100,"100",100,100,100,100,100,"0",100,100,90,0,90,100,8,100,100,100,100,100,100,90,0,90,90,95,787.5,97.5,"S"
"green-mushroom",100,75,"100",100,100,100,"100",100,100,"100",100,100,100,100,90,"0",90,95,80,0,80,90.8,2,100,100,100,100,100,100,70,0,70,70,85,765,91.2,"S"
"mahogany-avocado",100,100,"75",85,80,83.5,"100",63,100,"100",100,100,100,100,70,"0",70,75,70,0,70,77,1,100,100,100,100,100,100,22,0,22,22,70,708,76.7,"S"
"mauvelous-lettuce",75,100,"100",100,100,100,"100",100,80,"90",100,100,100,98.3,70,"0",70,75,60,0,60,68.8,3,100,100,100,100,100,100,42,0,42,42,65,715,80.2,"S"
"orchid-caraway",87.5,100,"100",80,80,80,"100",100,100,"100",100,100,100,100,70,"0",70,75,90,0,90,93.5,9,100,100,100,100,100,100,86,0,86,86,80,757.5,89.8,"S"
"orchid-elderberry",100,100,"100",85,85,85,"100",100,100,"100",100,100,100,100,50,"0",50,65,60,0,60,63.3,10,100,100,100,100,100,100,26,0,26,26,55,750,74.5,"S"
"razzmatazz-courgette",100,100,"75",85,80,83.5,"100",100,100,"90",100,100,100,100,70,"0",70,70,40,0,40,52.3,6,100,100,100,100,100,100,66,0,66,66,55,735,80.8,"S"
"sepia-habanero",87.5,100,"100",80,85,81.5,"100",100,80,"90",100,100,100,98.3,100,"0",100,100,97.5,0,97.5,100,11,100,100,100,100,100,100,70,0,70,70,98.8,757.5,91,"S"
"shadow-cantaloupe",75,75,"75",95,95,95,"100",100,80,"90",100,100,100,98.3,60,"0",60,60,60,0,60,66,6,100,100,100,100,100,100,70,0,70,70,60,655,83.2,"S"
"shamrock-rosemary",100,100,"100",100,90,97,"92.3",63,100,"100",100,100,100,98.7,70,"0",70,75,50,0,50,60.5,9,100,100,100,100,100,100,90,0,90,90,60,725.3,89.6,"S"
"silver-courgette",87.5,100,"75",85,85,85,"100",100,80,"90",100,100,100,98.3,100,"0",100,100,90,0,90,100,11,100,100,100,100,100,100,80,0,80,80,95,732.5,92.5,"S"
"sunglow-grape",87.5,100,"75",90,90,90,"100",100,100,"100",100,100,100,100,70,"0",70,85,90,0,90,93.5,4,100,100,100,100,100,100,86,0,86,86,80,732.5,92.8,"S"
