"","X","StartDate","EndDate","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","key","Section","q1_total","q1a","q1b","q1c","c1a","c1b","c1c","T1_First.Click","T1_Last.Click","T1_Page.Submit","T1_Click.Count","q2_total","q2a","q2b","q2c","c2a","c2b","c2c","T2_First.Click","T2_Last.Click","T2_Page.Submit","T2_Click.Count","q3_total","q3a","q3b","q3c","c3a","c3b","c3c","T3_First.Click","T3_Last.Click","T3_Page.Submit","T3_Click.Count","q4_total","q4a","q4b","q4c","c4a","c4b","c4c","T4_First.Click","T4_Last.Click","T4_Page.Submit","T4_Click.Count","q5_total","q5a","q5b","q5c","c5a","c5b","c5c","T5_First.Click","T5_Last.Click","T5_Page.Submit","T5_Click.Count","q6_total","q6a","q6b","q6c","c6a","c6b","c6c","T6_First.Click","T6_Last.Click","T6_Page.Submit","T6_Click.Count","q7_total","q7a","q7b","q7c","c7a","c7b","c7c","T7_First.Click","T7_Last.Click","T7_Page.Submit","T7_Click.Count","q8_total","q8a","q8b","q8c","c8a","c8b","c8c","T8_First.Click","T8_Last.Click","T8_Page.Submit","T8_Click.Count","SC0","score_check","mcq_points","justification_points","j_gain"
"1",0,"Start Date","End Date","Progress","Duration (in seconds)","Finished","Recorded Date","Response ID","What is your Last Name?","What section are you in?",NA,NA,NA,NA,"Which of the choices causes the printing of the number 9? - comments - No Name - 1 - [optional]","Which of the choices causes the printing of the number 9? - comments - No Name - 2 - [optional]","Which of the choices causes the printing of the number 9? - comments - No Name - 5 - [optional]","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count",NA,NA,NA,NA,"Which of the following choices correctly calculates 1) the number of 9-hour shifts (an interval o... - comments - No Name - 1 - [optional]","Which of the following choices correctly calculates 1) the number of 9-hour shifts (an interval o... - comments - No Name - 2 - [optional]","Which of the following choices correctly calculates 1) the number of 9-hour shifts (an interval o... - comments - No Name - 5 - [optional]","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count",NA,NA,NA,NA,"Which of the following choices correctly calculates and prints the same result as the expression... - comments - No Name - 1 - [optional]","Which of the following choices correctly calculates and prints the same result as the expression... - comments - No Name - 2 - [optional]","Which of the following choices correctly calculates and prints the same result as the expression... - comments - No Name - 5 - [optional]","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count",NA,NA,NA,NA,"Using the following three function definitions: Which of the following three choices uses the fun... - comments - No Name - 1 - [optional]","Using the following three function definitions: Which of the following three choices uses the fun... - comments - No Name - 2 - [optional]","Using the following three function definitions: Which of the following three choices uses the fun... - comments - No Name - 5 - [optional]","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count",NA,NA,NA,NA,"Which of the following three choices causes the following printout: - comments - No Name - 1 - [optional]","Which of the following three choices causes the following printout: - comments - No Name - 2 - [optional]","Which of the following three choices causes the following printout: - comments - No Name - 5 - [optional]","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count",NA,NA,NA,NA,"Using the following two function definitions: Which of the following three choices causes the fol... - comments - No Name - 1 - [optional]","Using the following two function definitions: Which of the following three choices causes the fol... - comments - No Name - 2 - [optional]","Using the following two function definitions: Which of the following three choices causes the fol... - comments - No Name - 5 - [optional]","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count",NA,NA,NA,NA,"Which of the following choices shows a function that is able to determine if an input string has... - comments - No Name - 1 - [optional]","Which of the following choices shows a function that is able to determine if an input string has... - comments - No Name - 2 - [optional]","Which of the following choices shows a function that is able to determine if an input string has... - comments - No Name - 5 - [optional]","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count",NA,NA,NA,NA,"Given the following base code: Which of the following choices is logically equivalent: - comments - No Name - 1 - [optional]","Given the following base code: Which of the following choices is logically equivalent: - comments - No Name - 2 - [optional]","Given the following base code: Which of the following choices is logically equivalent: - comments - No Name - 5 - [optional]","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count",NA,NA,0,0,NA
"2",1,"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""QID64_TEXT""}","{""ImportId"":""QID66""}",NA,NA,NA,NA,"{""ImportId"":""QID1#2_1_1""}","{""ImportId"":""QID1#2_2_1""}","{""ImportId"":""QID1#2_5_1""}","{""ImportId"":""QID17_FIRST_CLICK""}","{""ImportId"":""QID17_LAST_CLICK""}","{""ImportId"":""QID17_PAGE_SUBMIT""}","{""ImportId"":""QID17_CLICK_COUNT""}",NA,NA,NA,NA,"{""ImportId"":""QID53#2_1_1""}","{""ImportId"":""QID53#2_2_1""}","{""ImportId"":""QID53#2_5_1""}","{""ImportId"":""QID54_FIRST_CLICK""}","{""ImportId"":""QID54_LAST_CLICK""}","{""ImportId"":""QID54_PAGE_SUBMIT""}","{""ImportId"":""QID54_CLICK_COUNT""}",NA,NA,NA,NA,"{""ImportId"":""QID55#2_1_1""}","{""ImportId"":""QID55#2_2_1""}","{""ImportId"":""QID55#2_5_1""}","{""ImportId"":""QID56_FIRST_CLICK""}","{""ImportId"":""QID56_LAST_CLICK""}","{""ImportId"":""QID56_PAGE_SUBMIT""}","{""ImportId"":""QID56_CLICK_COUNT""}",NA,NA,NA,NA,"{""ImportId"":""QID60#2_1_1""}","{""ImportId"":""QID60#2_2_1""}","{""ImportId"":""QID60#2_5_1""}","{""ImportId"":""QID71_FIRST_CLICK""}","{""ImportId"":""QID71_LAST_CLICK""}","{""ImportId"":""QID71_PAGE_SUBMIT""}","{""ImportId"":""QID71_CLICK_COUNT""}",NA,NA,NA,NA,"{""ImportId"":""QID69#2_1_1""}","{""ImportId"":""QID69#2_2_1""}","{""ImportId"":""QID69#2_5_1""}","{""ImportId"":""QID59_FIRST_CLICK""}","{""ImportId"":""QID59_LAST_CLICK""}","{""ImportId"":""QID59_PAGE_SUBMIT""}","{""ImportId"":""QID59_CLICK_COUNT""}",NA,NA,NA,NA,"{""ImportId"":""QID68#2_1_1""}","{""ImportId"":""QID68#2_2_1""}","{""ImportId"":""QID68#2_5_1""}","{""ImportId"":""QID70_FIRST_CLICK""}","{""ImportId"":""QID70_LAST_CLICK""}","{""ImportId"":""QID70_PAGE_SUBMIT""}","{""ImportId"":""QID70_CLICK_COUNT""}",NA,NA,NA,NA,"{""ImportId"":""QID72#2_1_1""}","{""ImportId"":""QID72#2_2_1""}","{""ImportId"":""QID72#2_5_1""}","{""ImportId"":""QID73_FIRST_CLICK""}","{""ImportId"":""QID73_LAST_CLICK""}","{""ImportId"":""QID73_PAGE_SUBMIT""}","{""ImportId"":""QID73_CLICK_COUNT""}",NA,NA,NA,NA,"{""ImportId"":""QID74#2_1_1""}","{""ImportId"":""QID74#2_2_1""}","{""ImportId"":""QID74#2_5_1""}","{""ImportId"":""QID75_FIRST_CLICK""}","{""ImportId"":""QID75_LAST_CLICK""}","{""ImportId"":""QID75_PAGE_SUBMIT""}","{""ImportId"":""QID75_CLICK_COUNT""}",NA,NA,0,0,NA
"3",2,"","","","","","","","ideal","Section 2: 9:25 AM - 10:40 AM with Pablo Frank",NA,NA,NA,NA," "," "," ","31.936","75.823","80.452","4",NA,NA,NA,NA," "," "," ","27.816","60.923","66.421","4",NA,NA,NA,NA," "," "," ","53.821","271.752","279.158","7",NA,NA,NA,NA," "," "," ","141.593","158.783","161.651","4",NA,NA,NA,NA," ","comma adds spaces "," ","43.522","105.476","116.773","5",NA,NA,NA,NA," "," "," ","50.575","73.668","119.468","5",NA,NA,NA,NA," "," "," ","25.146","657.661","696.569","10",NA,NA,NA,NA," "," "," ","50.577","198.025","227.536","5",40,NA,0,0,Inf
"4",3,"3/6/23 9:26","3/6/23 9:56","100","1784","TRUE","3/6/23 9:56","R_1IYrNtgr40fwTBq","apricot-tamarillo","Section 2: 9:25 AM - 10:40 AM with Pablo Frank",5,3,1,1,"0","0","0","44.401","84.196","169.404","4",5,3,1,1,"0","0","0","55.668","111.795","183.618","4",5,3,1,1,"0","0","0","69.295","90.353","155.068","4",5,3,1,1,"0","0","0","138.757","159.294","214.276","4",5,3,1,1,"0","0","0","60.688","142.274","183.781","4",5,3,1,1,"0","0","0","210.724","236.285","304.132","4",5,3,1,1,"0","0","0","165.136","306.676","362.909","4",5,3,1,1,"0","0","0","70.879","109.37","145.442","4",40,40,40,0,0
"5",4,"3/6/23 9:24","3/6/23 9:55","100","1853","TRUE","3/6/23 9:55","R_wMYVyfRHg2rcB1v","asparagus-raspberry","Section 2: 9:25 AM - 10:40 AM with Pablo Frank",5,3,1,1,"0","0","0","61.101","85.196","87.436","4",1,0,0,1,"0","0","0","137.36","203.601","314.815","4",5,3,1,1,"0","0","0","61.308","76.683","90.576","4",5,3,1,1,"0","0","0","106.99","168.112","172.75","4",5,3,1,1,"0","0","0","21.002","190.932","300.842","4",5,3,1,1,"0","0","0","178.915","283.114","300.902","4",1,0,0,1,"0","0","0","236.628","259.634","277.358","5",5,3,1,1,"0","0","0","44.141","167.785","182.493","4",32,32,32,0,0
"6",5,"3/6/23 9:28","3/6/23 9:57","100","1724","TRUE","3/6/23 9:57","R_2THU9O3a9TzvqzR","blue-cucumber","Section 2: 9:25 AM - 10:40 AM with Pablo Frank",5,3,1,1,"0","0","0","118.383","372.687","485.108","10",5,3,1,1,"0","0","0","48.951","221.956","224.521","12",1,0,0,1,"0","0","0","68.659","195.133","202.257","5",5,3,1,1,"0","0","0","139.269","146.424","151.309","4",1,0,0,1,"0","0","0","48.314","108.309","122.67","4",5,3,1,1,"0","0","0","97.07","124.843","130.333","4",1,0,0,1,"0","0","0","32.545","78.436","106.789","4",5,3,1,1,"0","0","0","130.122","153.375","159.466","4",28,28,28,0,0
"7",6,"3/6/23 9:24","3/6/23 9:57","100","1930","TRUE","3/6/23 9:57","R_3Gv2zfPDlZPPSLE","blue-fig","Section 2: 9:25 AM - 10:40 AM with Pablo Frank",5,3,1,1,"0","0","0","5.749","108.038","109.047","8",5,3,1,1,"0","0","0","46.166","151.262","200.526","12",5,3,1,1,"0","0","0","19.166","201.41","261.609","14",5,3,1,1,"0","0","0","74.075","172.051","201.6","14",5,3,1,1,"0","0","0","38.739","280.506","281.758","25",5,3,1,1,"0","0","0","180.575","301.575","314.041","16",5,3,1,1,"0","0","0","37.331","375.393","376.294","15",5,3,1,1,"0","0","0","41.436","111.737","112.35","9",40,40,40,0,0
"8",7,"3/6/23 9:25","3/6/23 10:22","100","3371","TRUE","3/6/23 10:22","R_27I21vfPAW02som","blush-grape","Section 2: 9:25 AM - 10:40 AM with Pablo Frank",5,3,1,1,"0","0","0","134.272","141.168","208.139","7",5,3,1,1,"0","0","0","380.304","435.273","516.113","7",1,0,1,0,"0","0","0","6.258","381.206","470.915","8",5,3,1,1,"0","0","0","30.27","325.004","372.139","8",5,3,1,1,"0","0","0","1.844","456.24","512.925","9",5,3,1,1,"0","0","0","265.855","307.717","351.528","7",5,3,1,1,"0","0","0","281.901","587.959","691.947","7",5,3,1,1,"0","0","0","60.158","166.529","179.86","10",36,36,36,0,0
"9",8,"3/6/23 9:26","3/6/23 10:05","100","2334","TRUE","3/6/23 10:05","R_1nZXB7pvLTtAgcA","blush-redcurrant","Section 2: 9:25 AM - 10:40 AM with Pablo Frank",5,3,1,1,"0","0","0","1.285","114.229","114.653","33",5,3,1,1,"0","0","0","0.781","247.475","247.981","79",1,0,1,0,"0","0","0","2.255","237.085","242.875","49",5,3,1,1,"0","0","0","0.667","183.735","185.069","35",5,3,1,1,"0","0","0","1.688","334.33","338.011","43",5,3,1,1,"0","0","0","2.596","301.599","302.002","100",5,3,1,1,"0","0","0","0.758","744.443","753.745","215",5,3,1,1,"0","0","0","1.846","88.196","89.121","62",36,36,36,0,0
"10",9,"3/6/23 9:26","3/6/23 9:59","100","2030","TRUE","3/6/23 9:59","R_2Yib82M9V7FbpQ6","brown-quince","Section 2: 9:25 AM - 10:40 AM with Pablo Frank",5,3,1,1,"0","0","0","41.106","262.52","297.572","9",5,3,1,1,"0","0","0","66.746","204.422","206.086","12",1,0,0,1,"0","0","0","2.551","177.902","183.813","12",5,3,1,1,"0","0","0","38.326","179.372","182.183","12",5,3,1,1,"0","0","0","32.399","228.671","241.321","14",5,3,1,1,"0","0","0","72.88","179.434","186.367","12",1,0,0,1,"0","0","0","82.228","264.668","267.299","12",5,3,1,1,"0","0","0","103.863","356.517","389.377","22",32,32,32,0,0
