"","X","StartDate","EndDate","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","key","Section","q1_total","q1a","q1b","q1c","c1a","c1b","c1c","T1_First.Click","T1_Last.Click","T1_Page.Submit","T1_Click.Count","q2_total","q2a","q2b","q2c","c2a","c2b","c2c","T2_First.Click","T2_Last.Click","T2_Page.Submit","T2_Click.Count","q3_total","q3a","q3b","q3c","c3a","c3b","c3c","T3_First.Click","T3_Last.Click","T3_Page.Submit","T3_Click.Count","q4_total","q4a","q4b","q4c","c4a","c4b","c4c","T4_First.Click","T4_Last.Click","T4_Page.Submit","T4_Click.Count","q5_total","q5a","q5b","q5c","c5a","c5b","c5c","T5_First.Click","T5_Last.Click","T5_Page.Submit","T5_Click.Count","q6_total","q6a","q6b","q6c","c6a","c6b","c6c","Q6_First.Click","Q6_Last.Click","Q6_Page.Submit","Q6_Click.Count","q7_total","q7a","q7b","q7c","c7a","c7b","c7c","T7_First.Click","T7_Last.Click","T7_Page.Submit","T7_Click.Count","q8_total","q8a","q8b","q8c","c8a","c8b","c8c","T8_First.Click","T8_Last.Click","T8_Page.Submit","T8_Click.Count","SC0","score_check","mcq_1","just_1","mcq_2","just_2","mcq_3","just_3","mcq_4","just_4","mcq_5","just_5","mcq_6","just_6","mcq_7","just_7","mcq_8","just_8","mcq_points","justification_points","j_gain"
"1",0,"Start Date","End Date","Progress","Duration (in seconds)","Finished","Recorded Date","Response ID","What is your Last Name?","What section are you in?",NA,NA,NA,NA,"Using the following three function definitions: Which of the following three choices produces a p... - comments - No Name - 1 - [optional]","Using the following three function definitions: Which of the following three choices produces a p... - comments - No Name - 2 - [optional]","Using the following three function definitions: Which of the following three choices produces a p... - comments - No Name - 5 - [optional]","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count",NA,NA,NA,NA,"Using the following two function definitions: Which of the following three choices causes the fol... - comments - No Name - 1 - [optional]","Using the following two function definitions: Which of the following three choices causes the fol... - comments - No Name - 2 - [optional]","Using the following two function definitions: Which of the following three choices causes the fol... - comments - No Name - 5 - [optional]","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count",NA,NA,NA,NA,"Which of the following choices shows a function that is able to determine if an input string has... - comments - No Name - 1 - [optional]","Which of the following choices shows a function that is able to determine if an input string has... - comments - No Name - 2 - [optional]","Which of the following choices shows a function that is able to determine if an input string has... - comments - No Name - 5 - [optional]","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count",NA,NA,NA,NA,"Which of the following choices shows a function that:correctly asks a user to guess a number (the... - comments - No Name - 1 - [optional]","Which of the following choices shows a function that:correctly asks a user to guess a number (the... - comments - No Name - 2 - [optional]","Which of the following choices shows a function that:correctly asks a user to guess a number (the... - comments - No Name - 5 - [optional]","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count",NA,NA,NA,NA,"Which of the choices correctly counts and return the number of symbols inside a string that are e... - comments - No Name - 1 - [optional]","Which of the choices correctly counts and return the number of symbols inside a string that are e... - comments - No Name - 2 - [optional]","Which of the choices correctly counts and return the number of symbols inside a string that are e... - comments - No Name - 5 - [optional]","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count",NA,NA,NA,NA,"For a call like this: pyramid(5) Which of the following choices correctly causes the printout sho... - comments - No Name - 1 - [optional]","For a call like this: pyramid(5) Which of the following choices correctly causes the printout sho... - comments - No Name - 2 - [optional]","For a call like this: pyramid(5) Which of the following choices correctly causes the printout sho... - comments - No Name - 5 - [optional]","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count",NA,NA,NA,NA,"  In the code shown below that calls the function updated_list(original): Which of the following... - comments - No Name - 1 - [optional]","  In the code shown below that calls the function updated_list(original): Which of the following... - comments - No Name - 2 - [optional]","  In the code shown below that calls the function updated_list(original): Which of the following... - comments - No Name - 5 - [optional]","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count",NA,NA,NA,NA,"Which of the following choices shows a function that prints out the match pairings for this list... - comments - No Name - 1 - [optional]","Which of the following choices shows a function that prints out the match pairings for this list... - comments - No Name - 2 - [optional]","Which of the following choices shows a function that prints out the match pairings for this list... - comments - No Name - 5 - [optional]","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"2",1,"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""QID64_TEXT""}","{""ImportId"":""QID66""}",NA,NA,NA,NA,"{""ImportId"":""QID60#2_1_1""}","{""ImportId"":""QID60#2_2_1""}","{""ImportId"":""QID60#2_5_1""}","{""ImportId"":""QID71_FIRST_CLICK""}","{""ImportId"":""QID71_LAST_CLICK""}","{""ImportId"":""QID71_PAGE_SUBMIT""}","{""ImportId"":""QID71_CLICK_COUNT""}",NA,NA,NA,NA,"{""ImportId"":""QID68#2_1_1""}","{""ImportId"":""QID68#2_2_1""}","{""ImportId"":""QID68#2_5_1""}","{""ImportId"":""QID70_FIRST_CLICK""}","{""ImportId"":""QID70_LAST_CLICK""}","{""ImportId"":""QID70_PAGE_SUBMIT""}","{""ImportId"":""QID70_CLICK_COUNT""}",NA,NA,NA,NA,"{""ImportId"":""QID72#2_1_1""}","{""ImportId"":""QID72#2_2_1""}","{""ImportId"":""QID72#2_5_1""}","{""ImportId"":""QID73_FIRST_CLICK""}","{""ImportId"":""QID73_LAST_CLICK""}","{""ImportId"":""QID73_PAGE_SUBMIT""}","{""ImportId"":""QID73_CLICK_COUNT""}",NA,NA,NA,NA,"{""ImportId"":""QID77#2_1_1""}","{""ImportId"":""QID77#2_2_1""}","{""ImportId"":""QID77#2_5_1""}","{""ImportId"":""QID78_FIRST_CLICK""}","{""ImportId"":""QID78_LAST_CLICK""}","{""ImportId"":""QID78_PAGE_SUBMIT""}","{""ImportId"":""QID78_CLICK_COUNT""}",NA,NA,NA,NA,"{""ImportId"":""QID79#2_1_1""}","{""ImportId"":""QID79#2_2_1""}","{""ImportId"":""QID79#2_5_1""}","{""ImportId"":""QID80_FIRST_CLICK""}","{""ImportId"":""QID80_LAST_CLICK""}","{""ImportId"":""QID80_PAGE_SUBMIT""}","{""ImportId"":""QID80_CLICK_COUNT""}",NA,NA,NA,NA,"{""ImportId"":""QID81#2_1_1""}","{""ImportId"":""QID81#2_2_1""}","{""ImportId"":""QID81#2_5_1""}","{""ImportId"":""QID82_FIRST_CLICK""}","{""ImportId"":""QID82_LAST_CLICK""}","{""ImportId"":""QID82_PAGE_SUBMIT""}","{""ImportId"":""QID82_CLICK_COUNT""}",NA,NA,NA,NA,"{""ImportId"":""QID83#2_1_1""}","{""ImportId"":""QID83#2_2_1""}","{""ImportId"":""QID83#2_5_1""}","{""ImportId"":""QID84_FIRST_CLICK""}","{""ImportId"":""QID84_LAST_CLICK""}","{""ImportId"":""QID84_PAGE_SUBMIT""}","{""ImportId"":""QID84_CLICK_COUNT""}",NA,NA,NA,NA,"{""ImportId"":""QID85#2_1_1""}","{""ImportId"":""QID85#2_2_1""}","{""ImportId"":""QID85#2_5_1""}","{""ImportId"":""QID86_FIRST_CLICK""}","{""ImportId"":""QID86_LAST_CLICK""}","{""ImportId"":""QID86_PAGE_SUBMIT""}","{""ImportId"":""QID86_CLICK_COUNT""}",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"3",2,"","","","","","","","ideal","Section 2: 9:25 AM - 10:40 AM with Pablo Frank",NA,NA,NA,NA," This is correct"," This order of functions does not produce 16"," The order does not produce 16 and there are too few parentheses.","5.497","58.552","89.29","8",NA,NA,NA,NA," This is correct"," This is incorrect. Using float division will result in a decimal (which you can't use to index) because 5/2 is 2.5."," This is incorrect. st_len is not defined in the global frame so it can't be used here","1.456","364.846","366.927","11",NA,NA,NA,NA," This is correct."," This is incorrect because code[3:] returns everything from index 3 onwards, not necessarily the last three characters of the code."," This is incorrect. These conditions must simultaneously be true; using the if-elif-else structure means only one of the conditions will be checked.","130.714","345.101","346.869","8",NA,NA,NA,NA," This is correct","This while loop repeats as long as repeat = True, so there is no way for it to end because repeat always remains True"," This is incorrect. repeat is never defined so the while loop can't run","50.183","326.856","328.602","20",NA,NA,NA,NA," This is correct"," Range is not the function to use here as it requires integers as arguments, not a string, and for loops can iterate through each character of a string already"," This is not iterating through the string; rather it would iterate through a range of numbers equal to the string's length, thus not checking the string's characters at all.","69.856","258.067","259.93","14",NA,NA,NA,NA," This is correct"," This is incorrect. n never changes, meaning that for each iteration of the first for loop, it will print alph[:n], that is ""abcde"", resulting in an incorrect printout."," This is incorrect. Using i rather than j to specify the index to print will not result in the pyramid printout we want.","511.597","744.728","746.743","10",NA,NA,NA,NA," This is correct","This is not the correct way of reassigning items within lists."," This is not a correct method of copying a list.","168.561","569.548","572.665","26",NA,NA,NA,NA," This is correct","This is incorrect. It would print the possible matchups, but it would include matchups that we have already seen (ex. Ada vs. Bob and Bob vs. Ada)"," Using range here is incorrect as we would end up not looking at items in the list, just a range of integers.","136.801","497.866","500.186","22",40,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Inf
"4",3,"4/10/23 9:31","4/10/23 10:20","100","2925","TRUE","4/10/23 10:20","R_pclJD9heKjQl2rT","almond-lychee","Section 2: 9:25 AM - 10:40 AM with Pablo Frank",1,0,1,0,"0","0","0","4.469","532.238","536.617","28",1,0,1,0,"0","0","0","3.045","258.893","260.848","11",1,0,1,0,"0","0","0","311.671","562.342","563.617","16",5,3,1,1,"0","0","0","86.81","206.868","208.389","9",1,0,1,0,"0","0","0","161.435","312.461","314.149","7",5,3,1,1,"0","0","0","74.939","297.659","298.315","10",1,0,1,0,"0","0","0","259.053","372.621","373.956","9",1,0,1,0,"0","0","0","49.831","248.738","251.774","8",16,16,1,0,1,0,1,0,5,0,1,0,5,0,1,0,1,0,16,0,0
"5",4,"4/10/23 9:31","4/10/23 10:32","100","3651","TRUE","4/10/23 10:32","R_0v8XHjYC2GdLsit","apricot-tamarillo","Section 2: 9:25 AM - 10:40 AM with Pablo Frank",5,3,1,1,"0","0","0","18.579","24.13","193.721","4",5,3,1,1,"0","0","0","294.594","300.194","474.89","4",5,3,1,1,"0","0","0","87.256","158.945","271.105","4",5,3,1,1,"0","0","0","107.989","259.723","416.212","4",5,3,1,1,"0","0","0","82.319","237.369","422.804","6",5,3,1,1,"0","0","0","148.428","347.159","587.421","7",5,3,1,1,"0","0","0","385.502","512.226","869.996","6",5,3,1,1,"0","0","0","248.174","334.17","336.621","5",40,40,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,40,0,0
"6",5,"4/10/23 9:31","4/10/23 10:12","100","2445","TRUE","4/10/23 10:12","R_294vigoWh7sKDDu","asparagus-raspberry","Section 2: 9:25 AM - 10:40 AM with Pablo Frank",5,3,1,1,"0","0","0","7.953","9.312","23.781","3",1,0,0,1,"0","0","0","286.834","484.697","487.495","5",5,3,1,1,"0","0","0","106.178","202.428","211.419","3",1,0,0,1,"0","0","0","19.563","167.845","174.145","5",5,3,1,1,"0","0","0","139.936","141.687","143.01","3",1,0,0,1,"0","0","0","165.821","232.327","233.769","3",1,0,0,1,"0","0","0","159.277","427.659","429.755","5",5,3,1,1,"0","0","0","713.875","715.485","717.205","3",24,24,5,0,1,0,5,0,1,0,5,0,1,0,1,0,5,0,24,0,0
"7",6,"4/10/23 9:31","4/10/23 10:15","100","2634","TRUE","4/10/23 10:15","R_2uIOjD7e9n70GIn","blue-cucumber","Section 2: 9:25 AM - 10:40 AM with Pablo Frank",1,0,0,1,"0","0","0","4.958","6.65","383.521","3",5,3,1,1,"0","0","0","108.705","283.661","297.259","11",5,3,1,1,"0","0","0","59.356","298.501","302.261","8",5,3,1,1,"0","0","0","57.891","314.543","337.928","6",1,0,1,0,"0","0","0","133.38","235.611","244.901","7",5,3,1,1,"0","0","0","112.921","362.737","368.237","8",5,3,1,1,"0","0","0","71.723","205.605","209.187","8",1,0,0,1,"0","0","0","89.122","434.887","439.979","11",28,28,1,0,5,0,5,0,5,0,1,0,5,0,5,0,1,0,28,0,0
"8",7,"4/10/23 9:32","4/10/23 10:16","100","2642","TRUE","4/10/23 10:16","R_1C86JcSj9u7wx3C","blue-fig","Section 2: 9:25 AM - 10:40 AM with Pablo Frank",5,3,1,1,"0","0","0","2.085","32.533","52.934","5",5,3,1,1,"0","0","0","81.031","270.554","280.725","20",5,3,1,1,"0","0","0","174.438","347.507","396.891","10",1,0,1,0,"0","0","0","70.178","216.732","234.967","8",5,3,1,1,"0","0","0","68.269","207.899","223.857","22",5,3,1,1,"0","0","0","287.038","488.512","615.81","9",5,3,1,1,"0","0","0","10.229","220.783","237.862","12",5,3,1,1,"0","0","0","223.566","551.861","557.859","7",36,36,5,0,5,0,5,0,1,0,5,0,5,0,5,0,5,0,36,0,0
"9",8,"4/11/23 10:04","4/11/23 11:21","100","4615","TRUE","4/11/23 11:21","R_1esEU9LH6WcRmx1","blush-grape","Section 2: 9:25 AM - 10:40 AM with Pablo Frank",5,3,1,1,"0","0","0","94.2","299.237","374.729","10",5,3,1,1,"0","0","0","252.105","530.423","578.683","15",5,3,1,1,"0","0","0","140.749","355.877","385.719","16",5,3,1,1,"0","0","0","12.526","732.934","745.968","19",5,3,1,1,"0","0","0","113.365","441.509","443.56","14",5,3,1,1,"0","0","0","201.37","611.151","614.705","10",1,0,0,1,"0","0","0","106.005","757.768","762.566","11",5,3,1,1,"0","0","0","182.182","615.389","621.444","14",36,36,5,0,5,0,5,0,5,0,5,0,5,0,1,0,5,0,36,0,0
"10",9,"4/10/23 9:31","4/10/23 10:31","100","3609","TRUE","4/10/23 10:31","R_eJ3R0KsKIo1vexP","blush-redcurrant","Section 2: 9:25 AM - 10:40 AM with Pablo Frank",5,3,1,1,"0","0","0","0.477","615.82","616.1","68",5,3,1,1,"0","0","0","0.212","394.902","395.431","106",5,3,1,1,"0","0","0","0.74","654.482","655.14","225",5,3,1,1,"0","0","0","0.587","374.891","378.325","159",5,3,1,1,"0","0","0","0.739","204.819","205.52","71",5,3,1,1,"0","0","0","0.694","637.539","637.846","72",5,3,1,1,"0","0","0","0.326","275.925","276.292","92",5,3,1,1,"0","0","0","54.771","405.716","406.534","68",40,40,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,40,0,0
