"","X","StartDate","EndDate","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","key","Section","q1_total","q1a","q1b","q1c","c1a","c1b","c1c","T1_First.Click","T1_Last.Click","T1_Page.Submit","T1_Click.Count","q2_total","q2a","q2b","q2c","c2a","c2b","c2c","T2_First.Click","T2_Last.Click","T2_Page.Submit","T2_Click.Count","q3_total","q3a","q3b","q3c","c3a","c3b","c3c","T3_First.Click","T3_Last.Click","T3_Page.Submit","T3_Click.Count","q4_total","q4a","q4b","q4c","c4a","c4b","c4c","T4_First.Click","T4_Last.Click","T4_Page.Submit","T4_Click.Count","q5_total","q5a","q5b","q5c","c5a","c5b","c5c","T5_First.Click","T5_Last.Click","T5_Page.Submit","T5_Click.Count","q6_total","q6a","q6b","q6c","c6a","c6b","c6c","Q6_First.Click","Q6_Last.Click","Q6_Page.Submit","Q6_Click.Count","SC0","score_check"
"1",0,"Start Date","End Date","Progress","Duration (in seconds)","Finished","Recorded Date","Response ID","What is your Last Name?","What section are you in?",NA,"When the following code in main is executed: The function should return the index where a number... - Multiple Choice (Choose 1) - 1","When the following code in main is executed: The function should return the index where a number... - Multiple Choice (Choose 1) - 2","When the following code in main is executed: The function should return the index where a number... - Multiple Choice (Choose 1) - 5","When the following code in main is executed: The function should return the index where a number... - comments - No Name - 1 - [optional]","When the following code in main is executed: The function should return the index where a number... - comments - No Name - 2 - [optional]","When the following code in main is executed: The function should return the index where a number... - comments - No Name - 5 - [optional]","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count",NA,"For the main shown below:   Which of the choices correctly counts and returns the number of repea... - Multiple Choice (Choose 1) - 1","For the main shown below:   Which of the choices correctly counts and returns the number of repea... - Multiple Choice (Choose 1) - 2","For the main shown below:   Which of the choices correctly counts and returns the number of repea... - Multiple Choice (Choose 1) - 5","For the main shown below:   Which of the choices correctly counts and returns the number of repea... - comments - No Name - 1 - [optional]","For the main shown below:   Which of the choices correctly counts and returns the number of repea... - comments - No Name - 2 - [optional]","For the main shown below:   Which of the choices correctly counts and returns the number of repea... - comments - No Name - 5 - [optional]","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count",NA,"For the main shown below:  Which of the choices correctly determines if a substring word is conta... - Multiple Choice (Choose 1) - 1","For the main shown below:  Which of the choices correctly determines if a substring word is conta... - Multiple Choice (Choose 1) - 2","For the main shown below:  Which of the choices correctly determines if a substring word is conta... - Multiple Choice (Choose 1) - 5","For the main shown below:  Which of the choices correctly determines if a substring word is conta... - comments - No Name - 1 - [optional]","For the main shown below:  Which of the choices correctly determines if a substring word is conta... - comments - No Name - 2 - [optional]","For the main shown below:  Which of the choices correctly determines if a substring word is conta... - comments - No Name - 5 - [optional]","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count",NA,"For the main shown below: Which of the choices correctly prints out the contents of the dictionar... - Multiple Choice (Choose 1) - 1","For the main shown below: Which of the choices correctly prints out the contents of the dictionar... - Multiple Choice (Choose 1) - 2","For the main shown below: Which of the choices correctly prints out the contents of the dictionar... - Multiple Choice (Choose 1) - 5","For the main shown below: Which of the choices correctly prints out the contents of the dictionar... - comments - No Name - 1 - [optional]","For the main shown below: Which of the choices correctly prints out the contents of the dictionar... - comments - No Name - 2 - [optional]","For the main shown below: Which of the choices correctly prints out the contents of the dictionar... - comments - No Name - 5 - [optional]","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count",NA,"THIS IS A BONUS QUESTION and is OPTIONAL (If correct, you gain up to 10% bonus points on this tes... - Multiple Choice (Choose 1) - 1","THIS IS A BONUS QUESTION and is OPTIONAL (If correct, you gain up to 10% bonus points on this tes... - Multiple Choice (Choose 1) - 2","THIS IS A BONUS QUESTION and is OPTIONAL (If correct, you gain up to 10% bonus points on this tes... - Multiple Choice (Choose 1) - 5","THIS IS A BONUS QUESTION and is OPTIONAL (If correct, you gain up to 10% bonus points on this tes... - comments - No Name - 1 - [optional]","THIS IS A BONUS QUESTION and is OPTIONAL (If correct, you gain up to 10% bonus points on this tes... - comments - No Name - 2 - [optional]","THIS IS A BONUS QUESTION and is OPTIONAL (If correct, you gain up to 10% bonus points on this tes... - comments - No Name - 5 - [optional]","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count",NA,"THIS IS A BONUS QUESTION and is OPTIONAL (If correct, you gain up to 10% bonus points on this tes... - Multiple Choice (Choose 1) - 1","THIS IS A BONUS QUESTION and is OPTIONAL (If correct, you gain up to 10% bonus points on this tes... - Multiple Choice (Choose 1) - 2","THIS IS A BONUS QUESTION and is OPTIONAL (If correct, you gain up to 10% bonus points on this tes... - Multiple Choice (Choose 1) - 5","THIS IS A BONUS QUESTION and is OPTIONAL (If correct, you gain up to 10% bonus points on this tes... - comments - No Name - 1 - [optional]","THIS IS A BONUS QUESTION and is OPTIONAL (If correct, you gain up to 10% bonus points on this tes... - comments - No Name - 2 - [optional]","THIS IS A BONUS QUESTION and is OPTIONAL (If correct, you gain up to 10% bonus points on this tes... - comments - No Name - 5 - [optional]","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count","Score",NA
"2",1,"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""QID64_TEXT""}","{""ImportId"":""QID66""}",NA,"{""ImportId"":""QID60#1_1""}","{""ImportId"":""QID60#1_2""}","{""ImportId"":""QID60#1_5""}","{""ImportId"":""QID60#2_1_1""}","{""ImportId"":""QID60#2_2_1""}","{""ImportId"":""QID60#2_5_1""}","{""ImportId"":""QID71_FIRST_CLICK""}","{""ImportId"":""QID71_LAST_CLICK""}","{""ImportId"":""QID71_PAGE_SUBMIT""}","{""ImportId"":""QID71_CLICK_COUNT""}",NA,"{""ImportId"":""QID68#1_1""}","{""ImportId"":""QID68#1_2""}","{""ImportId"":""QID68#1_5""}","{""ImportId"":""QID68#2_1_1""}","{""ImportId"":""QID68#2_2_1""}","{""ImportId"":""QID68#2_5_1""}","{""ImportId"":""QID70_FIRST_CLICK""}","{""ImportId"":""QID70_LAST_CLICK""}","{""ImportId"":""QID70_PAGE_SUBMIT""}","{""ImportId"":""QID70_CLICK_COUNT""}",NA,"{""ImportId"":""QID72#1_1""}","{""ImportId"":""QID72#1_2""}","{""ImportId"":""QID72#1_5""}","{""ImportId"":""QID72#2_1_1""}","{""ImportId"":""QID72#2_2_1""}","{""ImportId"":""QID72#2_5_1""}","{""ImportId"":""QID73_FIRST_CLICK""}","{""ImportId"":""QID73_LAST_CLICK""}","{""ImportId"":""QID73_PAGE_SUBMIT""}","{""ImportId"":""QID73_CLICK_COUNT""}",NA,"{""ImportId"":""QID77#1_1""}","{""ImportId"":""QID77#1_2""}","{""ImportId"":""QID77#1_5""}","{""ImportId"":""QID77#2_1_1""}","{""ImportId"":""QID77#2_2_1""}","{""ImportId"":""QID77#2_5_1""}","{""ImportId"":""QID78_FIRST_CLICK""}","{""ImportId"":""QID78_LAST_CLICK""}","{""ImportId"":""QID78_PAGE_SUBMIT""}","{""ImportId"":""QID78_CLICK_COUNT""}",NA,"{""ImportId"":""QID79#1_1""}","{""ImportId"":""QID79#1_2""}","{""ImportId"":""QID79#1_5""}","{""ImportId"":""QID79#2_1_1""}","{""ImportId"":""QID79#2_2_1""}","{""ImportId"":""QID79#2_5_1""}","{""ImportId"":""QID80_FIRST_CLICK""}","{""ImportId"":""QID80_LAST_CLICK""}","{""ImportId"":""QID80_PAGE_SUBMIT""}","{""ImportId"":""QID80_CLICK_COUNT""}",NA,"{""ImportId"":""QID81#1_1""}","{""ImportId"":""QID81#1_2""}","{""ImportId"":""QID81#1_5""}","{""ImportId"":""QID81#2_1_1""}","{""ImportId"":""QID81#2_2_1""}","{""ImportId"":""QID81#2_5_1""}","{""ImportId"":""QID82_FIRST_CLICK""}","{""ImportId"":""QID82_LAST_CLICK""}","{""ImportId"":""QID82_PAGE_SUBMIT""}","{""ImportId"":""QID82_CLICK_COUNT""}","{""ImportId"":""SC_73UUcyHkd4JmA74""}",NA
"3",2,"","","","","","","","ideal","Section 2: 9:25 AM - 10:40 AM with Pablo Frank",NA,"Correct","Incorrect","Incorrect","  ","  keeps running, skips the first index meaning finding 5 will not work","  ","425.18","780.442","988.194","6",NA,"Correct","Incorrect","Incorrect","  ","  The range is set up incorrectly, range needs to receive an integer and st is a string","  Nothing will get added to ""syms"", because it starts empty and compares the items in the string to the contents of the ""syms"" string. This means that there won't be letters to compare to, so the count never goes up and the syms never accumulates numbers","356.445","663.835","680.341","7",NA,"Correct","Incorrect","Incorrect","  ","  There are repeats of the same letter in ""base"", meaning that using base as x compares the same letters to the sub string multiple times, adding multiple bs and es to the ""common.""","  Counts each occurrence of each letter, meaning that if there are repeats in, like ""b"", it will count every b that appears","438.727","1004.012","1005.189","7",NA,"Correct","Incorrect","Incorrect","  ","  does not actually access the dictionary because I doesn't use the name of the dictionary","  dictionaries are unordered, meaning you can't use an index to locate something in the dictionary ","212.005","724.04","751.706","15",NA,"Correct","Incorrect","Incorrect","  ","  Uses random.seed, which is pseudorandom.  ","Does not establish the window of choice for random values, only offers between 0 and 2, not 0 and 8  ","103.075","456.673","461.158","7",NA,"Correct","Incorrect","Incorrect","  ","  ","Not sure  ","305.213","313.883","314.784","6","30",NA
"4",3,"5/1/23 9:47","5/1/23 10:42","100","3346","TRUE","5/1/23 10:43","R_27TJDvmTW6IWQXn","almond-lychee","Section 2: 9:25 AM - 10:40 AM with Pablo Frank",1,"0","0","1","0","0","0","216.601","603.369","682.908","5",5,"3","1","1","0","0","0","49.674","615.403","999.194","8",1,"0","1","0","0","0","0","7.545","553.693","609.893","5",1,"0","1","0","0","0","0","195.353","235.235","240.045","6",1,"0","1","0","0","0","0","54.003","319.612","320.963","7",5,"3","1","1","0","0","0","127.503","396.443","399.984","15","14",14
"5",4,"5/1/23 9:25","5/1/23 10:28","100","3766","TRUE","5/1/23 10:28","R_1lyi5VmaYCUE4o9","apricot-tamarillo","Section 2: 9:25 AM - 10:40 AM with Pablo Frank",5,"3","1","1","0","0","0","469.965","499.827","529.478","3",5,"3","1","1","0","0","0","491.294","569.504","571.115","4",5,"3","1","1","0","0","0","512.147","610.07","611.756","4",1,"0","0","1","0","0","0","9.169","406.581","409.653","5",1,"0","0","1","0","0","0","22.259","289.527","350.25","6",5,"3","1","1","0","0","0","4.599","1044.697","1264.068","5","22",22
"6",5,"5/1/23 9:25","5/1/23 10:24","100","3543","TRUE","5/1/23 10:24","R_zcD1QyRDOzoZG2B","asparagus-raspberry","Section 2: 9:25 AM - 10:40 AM with Pablo Frank",1,"0","0","1","0","0","0","457.364","631.857","635.669","3",1,"0","0","1","0","0","0","651.487","822.692","828.714","3",1,"0","0","1","0","0","0","202.874","755.851","998.175","6",1,"0","1","0","0","0","0","588.042","589.532","590.964","3",1,"0","0","1","0","0","0","128.776","131.417","133.391","3",5,"3","1","1","0","0","0","333.802","336.618","339.913","3","10",10
"7",6,"5/1/23 9:25","5/1/23 10:19","100","3238","TRUE","5/1/23 10:19","R_rjOAo8hRqdid29P","blue-cucumber","Section 2: 9:25 AM - 10:40 AM with Pablo Frank",5,"3","1","1","0","0","0","49.496","461.276","466.099","6",1,"0","1","0","0","0","0","187.278","733.053","739.518","16",1,"0","1","0","0","0","0","246.78","434.639","442.618","9",5,"3","1","1","0","0","0","155.09","507.744","513.919","20",5,"3","1","1","0","0","0","144.09","677.848","682.05","28",5,"3","1","1","0","0","0","8.442","319.678","322.443","11","22",22
"8",7,"5/1/23 9:25","5/1/23 10:28","100","3765","TRUE","5/1/23 10:28","R_1cSrCbh3XPaHqrt","blue-fig","Section 2: 9:25 AM - 10:40 AM with Pablo Frank",5,"3","1","1","0","0","0","599.14","1037.267","1043.067","14",5,"3","1","1","0","0","0","25.591","534.727","536.292","16",5,"3","1","1","0","0","0","13.134","854.682","892.131","28",5,"3","1","1","0","0","0","92.436","361.465","371.577","9",5,"3","1","1","0","0","0","5.631","122.438","151.774","10",5,"3","1","1","0","0","0","170.442","716.549","739.051","17","30",30
"9",8,"5/1/23 9:25","5/1/23 10:31","100","3949","TRUE","5/1/23 10:31","R_4YPDaxutyKgNYwp","blush-grape","Section 2: 9:25 AM - 10:40 AM with Pablo Frank",5,"3","1","1","0","0","0","396.688","1021.413","1503.19","3",5,"3","1","1","0","0","0","201.88","392.616","394.248","8",5,"3","1","1","0","0","0","458.107","961.037","962.614","8",1,"0","0","1","0","0","0","171.357","346.624","348.361","7",5,"3","1","1","0","0","0","62.334","350.454","352.151","9",5,"3","1","1","0","0","0","279.289","309.789","311.511","6","26",26
"10",9,"5/1/23 9:26","5/1/23 10:29","100","3829","TRUE","5/1/23 10:30","R_2zV12VAu7UoiV52","blush-redcurrant","Section 2: 9:25 AM - 10:40 AM with Pablo Frank",1,"0","1","0","0","0","0","62.064","1111.881","1185.416","13",5,"3","1","1","0","0","0","185.764","831.077","832.633","11",5,"3","1","1","0","0","0","205.219","702.217","704.317","14",1,"0","1","0","0","0","0","74.123","428.843","454.895","25",1,"0","1","0","0","0","0","112.735","355.383","357.591","11",5,"3","1","1","0","0","0","87.932","225.516","227.468","6","18",18
