key,section,points,grade,estimated_points,estimated_grade,questionable_points,questionable_percentage
apricot-pea,Section 1: 8:00 AM - 9:15 AM  with Pablo Frank,60,75,52.5,65.625,7.5,9.375
apricot-tomato,Section 1: 8:00 AM - 9:15 AM  with Pablo Frank,56,70,50.16666667,62.70833333,5.83333333,7.29166667
aquamarine-cucumber,Section 1: 8:00 AM - 9:15 AM  with Pablo Frank,57,71.25,54.5,68.125,2.5,3.125
bittersweet-potato,Section 1: 8:00 AM - 9:15 AM  with Pablo Frank,47,58.75,44.5,55.625,2.5,3.125
bittersweet-tubers,Section 1: 8:00 AM - 9:15 AM  with Pablo Frank,79,98.75,79,98.75,0,0
black-turnip,Section 1: 8:00 AM - 9:15 AM  with Pablo Frank,77,96.25,74.5,93.125,2.5,3.125
blue-watercress,Section 1: 8:00 AM - 9:15 AM  with Pablo Frank,63,78.75,63,78.75,0,0
brown-bilberry,Section 1: 8:00 AM - 9:15 AM  with Pablo Frank,67,83.75,62,77.5,5,6.25
brown-mandarine,Section 1: 8:00 AM - 9:15 AM  with Pablo Frank,71,88.75,68.5,85.625,2.5,3.125
canary-eggplant,Section 1: 8:00 AM - 9:15 AM  with Pablo Frank,73,91.25,73,91.25,0,0
canary-elderberry,Section 1: 8:00 AM - 9:15 AM  with Pablo Frank,62,77.5,58.66666667,73.33333333,3.33333333,4.16666667
cerulean-chickpea,Section 1: 8:00 AM - 9:15 AM  with Pablo Frank,72,90,72,90,0,0
chestnut-cilantro,Section 1: 8:00 AM - 9:15 AM  with Pablo Frank,73,91.25,73,91.25,0,0
eggplant-rutabaga,Section 1: 8:00 AM - 9:15 AM  with Pablo Frank,56,70,46,57.5,10,12.5
goldenrod-dill,Section 1: 8:00 AM - 9:15 AM  with Pablo Frank,60,75,56.66666667,70.83333333,3.33333333,4.16666667
lavender-asparagus,Section 1: 8:00 AM - 9:15 AM  with Pablo Frank,44,55,38.16666667,47.70833333,5.83333333,7.29166667
magenta-jalapeno,Section 1: 8:00 AM - 9:15 AM  with Pablo Frank,66,82.5,66,82.5,0,0
manatee-lime,Section 1: 8:00 AM - 9:15 AM  with Pablo Frank,80,100,80,100,0,0
melon-quince,Section 1: 8:00 AM - 9:15 AM  with Pablo Frank,66,82.5,66,82.5,0,0
peach-frisee,Section 1: 8:00 AM - 9:15 AM  with Pablo Frank,60,75,54.16666667,67.70833333,5.83333333,7.29166667
razzmatazz-artichoke,Section 1: 8:00 AM - 9:15 AM  with Pablo Frank,51,63.75,46,57.5,5,6.25
razzmatazz-cabbage,Section 1: 8:00 AM - 9:15 AM  with Pablo Frank,45,56.25,34.16666667,42.70833333,10.83333333,13.54166667
red-jambul,Section 1: 8:00 AM - 9:15 AM  with Pablo Frank,55,68.75,52.5,65.625,2.5,3.125
red-radish,Section 1: 8:00 AM - 9:15 AM  with Pablo Frank,51,63.75,45.16666667,56.45833333,5.83333333,7.29166667
scarlet-gooseberry,Section 1: 8:00 AM - 9:15 AM  with Pablo Frank,69,86.25,65.66666667,82.08333333,3.33333333,4.16666667
sunglow-nectarine,Section 1: 8:00 AM - 9:15 AM  with Pablo Frank,78,97.5,75.5,94.375,2.5,3.125
tumbleweed-cranberry,Section 1: 8:00 AM - 9:15 AM  with Pablo Frank,62,77.5,59.5,74.375,2.5,3.125
tumbleweed-frisee,Section 1: 8:00 AM - 9:15 AM  with Pablo Frank,37,46.25,33.66666667,42.08333333,3.33333333,4.16666667
violet-kumquat,Section 1: 8:00 AM - 9:15 AM  with Pablo Frank,73,91.25,73,91.25,0,0
yellow-eggplant,Section 1: 8:00 AM - 9:15 AM  with Pablo Frank,70,87.5,67.5,84.375,2.5,3.125
