key,q_total1,mcq1,j1,q1a,q1b,q1c,jc1a,jc1b,jc1c,j1a,j1b,j1c,c1a,c1b,c1c,T1_First Click,T1_Last Click,T1_Page Submit,T1_Click Count,q_total2,mcq2,j2,q2a,q2b,q2c,jc2a,jc2b,jc2c,j2a,j2b,j2c,c2a,c2b,c2c,T2_First Click,T2_Last Click,T2_Page Submit,T2_Click Count,q_total3,mcq3,j3,q3a,q3b,q3c,jc3a,jc3b,jc3c,j3a,j3b,j3c,c3a,c3b,c3c,T3_First Click,T3_Last Click,T3_Page Submit,T3_Click Count,q_total4,mcq4,j4,q4a,q4b,q4c,jc4a,jc4b,jc4c,j4a,j4b,j4c,c4a,c4b,c4c,T4_First Click,T4_Last Click,T4_Page Submit,T4_Click Count,q_total5,mcq5,j5,q5a,q5b,q5c,jc5a,jc5b,jc5c,j5a,j5b,j5c,c5a,c5b,c5c,T5_First Click,T5_Last Click,T5_Page Submit,T5_Click Count,q_total6,mcq6,j6,q6a,q6b,q6c,jc6a,jc6b,jc6c,j6a,j6b,j6c,c6a,c6b,c6c,T6_First Click,T6_Last Click,T6_Page Submit,T6_Click Count,q_total7,mcq7,j7,q7a,q7b,q7c,jc7a,jc7b,jc7c,j7a,j7b,j7c,c7a,c7b,c7c,T7_First Click,T7_Last Click,T7_Page Submit,T7_Click Count,q_total8,mcq8,j8,q8a,q8b,q8c,jc8a,jc8b,jc8c,j8a,j8b,j8c,c8a,c8b,c8c,T8_First Click,T8_Last Click,T8_Page Submit,T8_Click Count,score_check,with-comments,mcq-only,j-only,c-only,M+J+C check,new-j,mcq-grade,j-grade,grade,new.grade
apricot-pea,10,5,5,3,1,1,1,2,2,1,2,2,0,0,0,7.391,99.374,134.46,7,8,5,3,3,1,1,1,0,2,1,0,2,0,0,0,75.055,156.282,181.828,6,10,5,5,3,1,1,1,2,2,1,2,2,0,0,0,94.636,281.698,286.712,13,8,5,3,3,1,1,1,2,0,1,2,0,0,0,0,123.663,255.795,261.533,9,3,1,2,0,1,0,0,2,0,0,2,0,0,0,0,61.646,176.197,184.326,10,8,5,3,3,1,1,1,0,2,1,0,2,0,0,0,138.893,388.442,405.587,10,3,1,2,0,0,1,0,0,2,0,0,2,0,0,0,68.589,203.367,216.411,9,10,5,5,3,1,1,1,2,2,1,2,2,0,0,0,71.873,150.19,161.239,8,60,60,32,28,0,60,28,80,70,75,75
apricot-tomato,10,5,5,3,1,1,1,2,2,1,0,2,0,2,0,92.072,214.89,370.025,11,6,5,1,3,1,1,1,0,0,1,0,0,0,0,0,313.816,678.651,771.542,18,10,5,5,3,1,1,1,2,2,1,2,2,0,0,0,128.544,413.451,416.351,10,9,5,4,3,1,1,1,2,1,1,2,0,0,0,1,122.842,244.5,247.68,16,3,1,2,0,0,1,0,0,2,0,0,2,0,0,0,145.266,391.514,405.307,20,9,5,4,3,1,1,1,2,1,1,0,0,0,2,1,190.313,566.415,571.486,15,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,105.087,277.367,282.621,15,8,5,3,3,1,1,1,0,2,1,0,2,0,0,0,99.802,239.378,244.869,12,50,56,32,18,6,56,24,80,60,70,70
aquamarine-cucumber,10,5,5,3,1,1,1,2,2,1,2,0,0,0,2,11.294,173.277,188.547,5,10,5,5,3,1,1,1,2,2,1,2,2,0,0,0,45.302,379.187,387.172,5,3,1,2,0,0,1,0,0,2,0,0,2,0,0,0,59.696,150.813,165.123,4,10,5,5,3,1,1,1,2,2,1,2,2,0,0,0,147.636,181.338,186.926,4,3,1,2,0,0,1,0,0,2,0,0,2,0,0,0,80.266,263.31,274.809,4,8,5,3,3,1,1,1,0,2,1,0,2,0,0,0,81.982,191.822,211.454,5,3,1,2,0,1,0,0,2,0,0,2,0,0,0,0,61.441,594.642,605.964,6,10,5,5,3,1,1,1,2,2,1,2,2,0,0,0,147.551,255.083,267.159,7,55,57,28,27,2,57,29,70,72.5,71.25,85.63
bittersweet-potato,10,5,5,3,1,1,1,2,2,1,0,0,0,2,2,47.702,192.265,209.819,9,8,5,3,3,1,1,1,0,2,1,0,2,0,0,0,49.119,191.096,206.274,11,3,1,2,0,1,0,0,2,0,0,2,0,0,0,0,84.174,221.864,264.586,5,3,1,2,0,0,1,0,0,2,0,0,2,0,0,0,185.915,458.122,458.874,32,3,1,2,0,0,1,0,0,2,0,0,2,0,0,0,20.851,66.276,110.216,5,9,5,4,3,1,1,1,2,1,1,0,0,0,2,1,41.913,101.197,119.437,7,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,63.167,161.916,184.205,7,10,5,5,3,1,1,1,2,2,1,2,0,0,0,2,40.764,161.687,168.815,7,38,47,24,14,9,47,23,60,57.5,58.75,76.04
bittersweet-tubers,10,5,5,3,1,1,1,2,2,1,2,2,0,0,0,23.895,106.683,127.053,11,10,5,5,3,1,1,1,2,2,1,2,2,0,0,0,36.186,194.147,230.723,12,10,5,5,3,1,1,1,2,2,1,2,2,0,0,0,47.19,311.397,313.708,12,10,5,5,3,1,1,1,2,2,1,2,2,0,0,0,166.674,198.594,204.921,7,10,5,5,3,1,1,1,2,2,1,2,2,0,0,0,50.159,202.904,221.226,10,10,5,5,3,1,1,1,2,2,1,2,0,0,0,2,79.036,184.887,198.79,11,9,5,4,3,1,1,1,2,1,1,2,0,0,0,1,47.692,653.135,671.808,20,10,5,5,3,1,1,1,2,2,1,0,2,0,2,0,58.197,365.401,372.733,13,74,79,40,34,5,79,39,100,97.5,98.75,98.75
black-turnip,8,5,3,3,1,1,1,0,2,1,0,2,0,0,0,11.685,307.83,309.657,21,10,5,5,3,1,1,1,2,2,1,2,2,0,0,0,46.239,213.415,239.064,13,10,5,5,3,1,1,1,2,2,1,2,2,0,0,0,111.304,293.417,295.489,18,10,5,5,3,1,1,1,2,2,1,2,2,0,0,0,73.808,269.609,271.738,14,10,5,5,3,1,1,1,2,2,1,2,2,0,0,0,61.785,288.728,291.934,9,10,5,5,3,1,1,1,2,2,1,2,2,0,0,0,109.458,348.53,351.22,16,9,5,4,3,1,1,1,2,1,1,2,0,0,0,1,134.954,684.056,688.97,39,10,5,5,3,1,1,1,2,2,1,2,2,0,0,0,59.795,186.737,225.379,13,76,77,40,36,1,77,37,100,92.5,96.25,98.13
blue-watercress,9,5,4,3,1,1,1,1,2,1,0,2,0,1,0,65.504,462.768,474.188,17,10,5,5,3,1,1,1,2,2,1,2,2,0,0,0,144.955,765.85,768.231,20,3,1,2,0,0,1,0,0,2,0,0,2,0,0,0,32.906,272.907,304.888,18,10,5,5,3,1,1,1,2,2,1,2,2,0,0,0,64.723,453.166,487.611,24,10,5,5,3,1,1,1,2,2,1,2,2,0,0,0,44.594,556.092,565.939,29,10,5,5,3,1,1,1,2,2,1,2,2,0,0,0,65.162,280.199,287.164,10,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,94.305,591.593,622.707,13,10,5,5,3,1,1,1,2,2,1,2,2,0,0,0,55.741,151.223,164.359,10,62,63,32,30,1,63,31,80,77.5,78.75,89.38
brown-bilberry,10,5,5,3,1,1,1,2,2,1,2,2,0,0,0,10.915,263.825,271.564,12,10,5,5,3,1,1,1,2,2,1,2,2,0,0,0,79.111,287.259,301.337,6,10,5,5,3,1,1,1,2,2,1,0,0,0,2,2,45.134,313.093,322.187,11,10,5,5,3,1,1,1,2,2,1,2,2,0,0,0,192.952,520.095,522.519,7,8,5,3,3,1,1,1,0,2,1,0,0,0,0,2,171.618,354.31,447.414,13,8,5,3,3,1,1,1,0,2,1,0,2,0,0,0,381.915,567.247,595.854,31,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,176.363,575.112,674.314,28,10,5,5,3,1,1,1,2,2,1,2,2,0,0,0,103.435,396.544,592.626,12,61,67,36,25,6,67,31,90,77.5,83.75,83.75
brown-mandarine,10,5,5,3,1,1,1,2,2,1,2,2,0,0,0,49.715,177.918,190.562,6,10,5,5,3,1,1,1,2,2,1,2,2,0,0,0,48.563,79.572,224.147,3,10,5,5,3,1,1,1,2,2,1,2,2,0,0,0,58.528,101.837,103.493,6,10,5,5,3,1,1,1,2,2,1,2,2,0,0,0,33.017,204.178,206.23,6,8,5,3,3,1,1,1,0,2,1,0,2,0,0,0,22.218,601.906,603.897,12,10,5,5,3,1,1,1,2,2,1,2,2,0,0,0,88.344,498.82,500.631,15,3,1,2,0,1,0,0,2,0,0,2,0,0,0,0,49.741,486.949,494.01,10,10,5,5,3,1,1,1,2,2,1,2,2,0,0,0,24.386,112.59,115.301,7,71,71,36,35,0,71,35,90,87.5,88.75,91.04
canary-eggplant,10,5,5,3,1,1,1,2,2,1,2,2,0,0,0,60.745,163.882,172.185,9,10,5,5,3,1,1,1,2,2,1,2,2,0,0,0,59.216,201.678,203.83,10,10,5,5,3,1,1,1,2,2,1,2,2,0,0,0,60.91,390.331,392.325,17,10,5,5,3,1,1,1,2,2,1,2,2,0,0,0,67.716,333.585,338.236,13,10,5,5,3,1,1,1,2,2,1,2,2,0,0,0,20.095,262.79,266.964,22,10,5,5,3,1,1,1,2,2,1,2,2,0,0,0,164.114,625.517,636.039,32,3,1,2,0,0,1,0,0,2,0,0,2,0,0,0,156.252,1071.351,1081.629,45,10,5,5,3,1,1,1,2,2,1,2,2,0,0,0,45.727,229.412,236.132,14,73,73,36,37,0,73,37,90,92.5,91.25,95.63
