key,q_total1,mcq1,j1,q1a,q1b,q1c,jc1a,jc1b,jc1c,j1a,j1b,j1c,c1a,c1b,c1c,T1_First Click,T1_Last Click,T1_Page Submit,T1_Click Count,q_total2,mcq2,j2,q2a,q2b,q2c,jc2a,jc2b,jc2c,j2a,j2b,j2c,c2a,c2b,c2c,T2_First Click,T2_Last Click,T2_Page Submit,T2_Click Count,q_total3,mcq3,j3,q3a,q3b,q3c,jc3a,jc3b,jc3c,j3a,j3b,j3c,c3a,c3b,c3c,T3_First Click,T3_Last Click,T3_Page Submit,T3_Click Count,q_total4,mcq4,j4,q4a,q4b,q4c,jc4a,jc4b,jc4c,j4a,j4b,j4c,c4a,c4b,c4c,T4_First Click,T4_Last Click,T4_Page Submit,T4_Click Count,q_total5,mcq5,j5,q5a,q5b,q5c,jc5a,jc5b,jc5c,j5a,j5b,j5c,c5a,c5b,c5c,T5_First Click,T5_Last Click,T5_Page Submit,T5_Click Count,q_total6,mcq6,j6,q6a,q6b,q6c,jc6a,jc6b,jc6c,j6a,j6b,j6c,c6a,c6b,c6c,T6_First Click,T6_Last Click,T6_Page Submit,T6_Click Count,q_total7,mcq7,j7,q7a,q7b,q7c,jc7a,jc7b,jc7c,j7a,j7b,j7c,c7a,c7b,c7c,T7_First Click,T7_Last Click,T7_Page Submit,T7_Click Count,q_total8,mcq8,j8,q8a,q8b,q8c,jc8a,jc8b,jc8c,j8a,j8b,j8c,c8a,c8b,c8c,T8_First Click,T8_Last Click,T8_Page Submit,T8_Click Count,score_check,with-comments,mcq-only,j-only,c-only,M+J+C check,new-j,mcq-grade,j-grade,grade,new.grade,j-effect
apricot-pea,10,5,5,3,1,1,1,2,2,1,2,2,0,0,0,57.191,198.009,201.192,11,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,75.991,258.601,263.078,11,10,5,5,3,1,1,1,2,2,1,2,2,0,0,0,97.938,193.795,198.163,13,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,61.671,106.367,109.847,6,3,1,2,0,1,0,0,2,0,0,2,0,0,0,0,70.918,123.915,124.469,9,3,1,2,0,0,1,0,0,2,0,0,0,0,0,2,45.837,77.781,81.725,10,3,1,2,0,1,0,0,2,0,0,2,0,0,0,0,95.393,106.516,120.046,8,8,5,3,3,1,1,1,0,2,1,0,2,0,0,0,56.363,324.875,341.994,19,37,39,20,17,2,39,19,50,47.5,48.75,58.8,-1.25
apricot-tomato,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,80.095,371.798,373.264,14,10,5,5,3,1,1,1,2,2,1,0,2,0,2,0,123.329,266.504,268.131,21,3,1,2,0,1,0,0,2,0,0,2,0,0,0,0,94.624,144.075,146.357,6,6,5,1,3,1,1,1,0,0,1,0,0,0,0,0,104.624,153.271,171.561,9,6,5,1,3,1,1,1,0,0,1,0,0,0,0,0,210.837,324.584,326.29,15,10,5,5,3,1,1,1,2,2,1,2,0,0,0,2,68.138,119.879,121.271,11,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4.397,223.296,225.009,14,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,123.574,216.321,218.391,10,34,38,24,10,4,38,14,60,35,47.5,52.3,-12.5
aquamarine-cucumber,10,5,5,3,1,1,1,2,2,1,2,2,0,0,0,85.371,280.491,289.546,6,10,5,5,3,1,1,1,2,2,1,2,2,0,0,0,249.87,666.885,676.459,9,10,5,5,3,1,1,1,2,2,1,2,2,0,0,0,33.003,323.315,333.439,8,3,1,2,0,0,1,0,0,2,0,0,2,0,0,0,9.057,307.8,331.632,7,3,1,2,0,0,1,0,0,2,0,0,2,0,0,0,79.996,317.821,325.361,6,10,5,5,3,1,1,1,2,2,1,2,2,0,0,0,66.241,148.218,150.391,4,9,5,4,3,1,1,1,1,2,1,0,2,0,1,0,85.734,352.279,354.207,5,10,5,5,3,1,1,1,2,2,1,2,2,0,0,0,144.409,511.755,514.43,6,64,65,32,32,1,65,33,80,82.5,81.25,84.9,1.25
bittersweet-potato,8,5,3,3,1,1,1,2,0,1,2,0,0,0,0,85.719,200.538,202.6,10,10,5,5,3,1,1,1,2,2,1,2,2,0,0,0,151.664,858.191,861.613,36,10,5,5,3,1,1,1,2,2,1,2,2,0,0,0,104.977,720.301,737.934,19,7,4,3,3,0,1,1,2,0,1,0,0,0,2,0,57.944,616.791,621.433,16,3,1,2,0,1,0,0,2,0,0,2,0,0,0,0,73.03,299.881,302.059,10,3,1,2,0,1,0,0,2,0,0,2,0,0,0,0,91.394,591.952,592.448,21,2,1,1,0,0,1,0,0,1,0,0,0,0,0,1,73.114,793.838,797.86,32,10,5,5,3,1,1,1,2,2,1,2,2,0,0,0,14.684,465.427,468.022,15,50,53,27,23,3,53,26,67.5,65,66.25,66.3,-1.25
bittersweet-tubers,3,1,2,0,0,1,0,0,2,0,0,2,0,0,0,48.934,201.607,204.711,8,10,5,5,3,1,1,1,2,2,1,2,2,0,0,0,169.592,473.845,479.327,8,10,5,5,3,1,1,1,2,2,1,2,2,0,0,0,89.513,259.586,266.372,9,10,5,5,3,1,1,1,2,2,1,2,2,0,0,0,124.888,463.078,466.823,15,8,5,3,3,1,1,1,2,0,1,0,0,0,2,0,65.09,245.637,247.747,11,10,5,5,3,1,1,1,2,2,1,2,2,0,0,0,255.46,565.563,566.097,10,3,1,2,0,0,1,0,0,2,0,0,2,0,0,0,316.67,669.552,671.438,14,6,5,1,3,1,1,1,0,0,1,0,0,0,0,0,250.137,902.617,918.818,19,58,60,32,26,2,60,28,80,70,75,85.3,-5
black-turnip,10,5,5,3,1,1,1,2,2,1,2,2,0,0,0,28.121,216.548,218.429,20,10,5,5,3,1,1,1,2,2,1,2,2,0,0,0,85.857,351.103,353.459,12,10,5,5,3,1,1,1,2,2,1,2,2,0,0,0,132.52,305.607,307.625,15,10,5,5,3,1,1,1,2,2,1,2,2,0,0,0,48.608,662.879,665.854,21,10,5,5,3,1,1,1,4,0,1,2,0,0,2,0,82.267,755.385,757.883,48,10,5,5,3,1,1,1,2,2,1,2,2,0,0,0,84.147,354.742,356.663,14,9,5,4,3,1,1,1,2,1,1,2,0,0,0,1,45.121,291.022,292.947,16,10,5,5,3,1,1,1,2,2,1,2,2,0,0,0,71.034,351.385,355.074,14,76,79,40,36,3,79,39,100,97.5,98.75,100,-1.25
blue-watercress,10,5,5,3,1,1,1,2,2,1,2,2,0,0,0,155.681,299.548,332.996,10,10,5,5,3,1,1,1,2,2,1,2,2,0,0,0,177.383,423.656,444.9,14,10,5,5,3,1,1,1,2,2,1,2,2,0,0,0,89.268,436.645,447.62,20,3,1,2,0,1,0,0,2,0,0,2,0,0,0,0,153.895,966.706,991.377,31,8,5,3,3,1,1,1,2,0,1,0,0,0,2,0,117.336,612.341,621.73,15,10,5,5,3,1,1,1,2,2,1,2,2,0,0,0,69.84,559.914,565.356,12,2,1,1,0,0,1,0,0,1,0,0,0,0,0,1,66.919,521.144,524.35,15,10,5,5,3,1,1,1,2,2,1,2,2,0,0,0,50.468,632.851,635.256,11,60,63,32,28,3,63,31,80,77.5,78.75,83.2,-1.25
brown-bilberry,10,5,5,3,1,1,1,2,2,1,2,2,0,0,0,52.049,203.108,211.264,7,3,1,2,0,1,0,0,2,0,0,2,0,0,0,0,145.509,711.307,752.685,13,3,1,2,0,0,1,0,0,2,0,0,2,0,0,0,212.597,918.252,920.051,29,8,5,3,3,1,1,1,2,0,1,2,0,0,0,0,6.559,447.246,448.941,37,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,133.149,373.455,377.943,12,3,1,2,0,1,0,0,2,0,0,2,0,0,0,0,141.536,567.106,572.798,19,10,5,5,3,1,1,1,2,2,1,2,2,0,0,0,233.232,509.014,513.999,13,8,5,3,3,1,1,1,0,2,1,0,2,0,0,0,153.555,503.889,504.389,13,46,46,24,22,0,46,22,60,55,57.5,68.4,-2.5
brown-mandarine,8,5,3,3,1,1,1,2,0,1,2,0,0,0,0,42.935,108.969,128.111,3,10,5,5,3,1,1,1,2,2,1,2,2,0,0,0,152.659,192.595,218.285,3,10,5,5,3,1,1,1,2,2,1,2,2,0,0,0,55.432,95.717,124.021,4,3,1,2,0,0,1,0,0,2,0,0,2,0,0,0,24.062,151.782,197.343,6,10,5,5,3,1,1,1,4,0,1,2,0,0,2,0,48.863,268.4,304.212,13,10,5,5,3,1,1,1,2,2,1,2,2,0,0,0,68.572,170.734,213.289,5,10,5,5,3,1,1,1,2,2,1,2,2,0,0,0,149.575,383.776,387.227,8,10,5,5,3,1,1,1,2,2,1,2,2,0,0,0,38.655,277.804,308.536,7,69,71,36,33,2,71,35,90,87.5,88.75,95.6,-1.25
canary-eggplant,10,5,5,3,1,1,1,2,2,1,2,2,0,0,0,102.444,133.316,192.217,6,10,5,5,3,1,1,1,2,2,1,2,2,0,0,0,140.466,582.309,599.011,17,10,5,5,3,1,1,1,2,2,1,2,2,0,0,0,163.14,306.739,367.361,11,10,5,5,3,1,1,1,2,2,1,2,2,0,0,0,133.927,369.202,448.986,16,10,5,5,3,1,1,1,2,2,1,2,2,0,0,0,44.703,676.046,689.353,33,9,5,4,3,1,1,1,2,1,1,2,0,0,0,1,168.257,891.561,969.662,23,10,5,5,3,1,1,1,2,2,1,2,2,0,0,0,139.477,577.448,596.755,19,10,5,5,3,1,1,1,2,2,1,2,2,0,0,0,73.787,463.487,494.529,13,78,79,40,38,1,79,39,100,97.5,98.75,100,-1.25
