key,q_total1,mcq1,j1,q1a,q1b,q1c,jc1a,jc1b,jc1c,j1a,j1b,j1c,c1a,c1b,c1c,T1_First Click,T1_Last Click,T1_Page Submit,T1_Click Count,q_total2,mcq2,j2,q2a,q2b,q2c,jc2a,jc2b,jc2c,j2a,j2b,j2c,c2a,c2b,c2c,T2_First Click,T2_Last Click,T2_Page Submit,T2_Click Count,q_total3,mcq3,j3,q3a,q3b,q3c,jc3a,jc3b,jc3c,j3a,j3b,j3c,c3a,c3b,c3c,T3_First Click,T3_Last Click,T3_Page Submit,T3_Click Count,q_total4,mcq4,j4,q4a,q4b,q4c,jc4a,jc4b,jc4c,j4a,j4b,j4c,c4a,c4b,c4c,T4_First Click,T4_Last Click,T4_Page Submit,T4_Click Count,grade,mcq-only,j-only,c-only,M+J+C check,new-j,MCQ-Grade,J-Grade,new.grade,score_check_p3ab
apricot-pea,3,1,2,0,1,0,0,2,0,0,2,0,0,0,0,82.552,357.048,362.948,12,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,18.495,235.424,239.673,7,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,99.774,230.917,246.21,7,6,5,1,3,1,1,1,0,0,1,0,0,0,0,0,184.198,340.336,343.228,9,27.5,8,3,0,11,3,40,15,27.5,31
apricot-tomato,6,5,1,3,1,1,1,0,0,1,0,0,0,0,0,48.071,1236.988,1237.82,41,6,5,1,3,1,1,1,0,0,1,0,0,0,0,0,13.241,407.646,410.119,18,6,5,1,3,1,1,1,0,0,1,0,0,0,0,0,367.333,634.965,649.414,17,6,5,1,3,1,1,1,0,0,1,0,0,0,0,0,317.519,527.217,528.975,18,60,20,4,0,24,4,100,20,60,31
aquamarine-cucumber,8,5,3,3,1,1,1,2,0,1,2,0,0,0,0,8.912,805.775,983.84,9,8,5,3,3,1,1,1,0,2,1,0,2,0,0,0,278.082,488.061,605.271,5,10,5,5,3,1,1,1,2,2,1,2,2,0,0,0,130.755,752.888,776.48,7,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,149.271,201.954,249.715,3,67.5,16,11,0,27,11,80,55,67.5,47
bittersweet-potato,3,1,2,0,1,0,0,2,0,0,2,0,0,0,0,127.068,586.039,589.216,20,8,5,3,3,1,1,1,0,2,1,0,2,0,0,0,1.819,762.828,764.173,15,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,86.192,913.537,931.328,21,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,96.61,295.962,304.282,8,32.5,8,5,0,13,5,40,25,32.5,29
bittersweet-tubers,3,1,2,0,1,0,0,2,0,0,2,0,0,0,0,190.214,1329.764,1343.291,22,10,5,5,3,1,1,1,2,2,1,2,2,0,0,0,106.229,363.274,364.905,15,10,5,5,3,1,1,1,2,2,1,2,2,0,0,0,794.119,1223.839,1225.544,12,10,5,5,3,1,1,1,2,2,1,2,2,0,0,0,4.948,398.556,402.164,18,82.5,16,17,0,33,17,80,85,82.5,43
black-turnip,8,5,3,3,1,1,1,2,0,1,2,0,0,0,0,109.657,922.514,984.434,20,10,5,5,3,1,1,1,2,2,1,2,2,0,0,0,84.801,456.819,464.536,18,10,5,5,3,1,1,1,2,2,1,2,2,0,0,0,179.849,600.571,607.613,21,3,1,2,0,0,1,0,0,2,0,0,2,0,0,0,41.751,440.93,443.376,31,77.5,16,15,0,31,15,80,75,77.5,49
blue-watercress,6,5,1,3,1,1,1,0,0,1,0,0,0,0,0,264.232,1888.379,1894.103,58,10,5,5,3,1,1,1,2,2,1,2,2,0,0,0,46.521,557.637,571.507,16,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,160.449,807.251,945.586,35,3,1,2,0,1,0,0,2,0,0,2,0,0,0,0,31.286,683.498,685.446,40,50,12,8,0,20,8,60,40,50,36
brown-bilberry,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,437.741,905.734,906.175,14,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,289.948,1517.992,1621.241,48,3,1,2,0,0,1,0,0,2,0,0,2,0,0,0,187.646,816.392,821.737,20,8,5,3,3,1,1,1,2,0,1,2,0,0,0,0,270.702,570.029,584.201,18,32.5,8,5,0,13,5,40,25,32.5,24
brown-mandarine,6,5,1,3,1,1,1,0,0,1,0,0,0,0,0,201.025,292.557,330.496,4,8,5,3,3,1,1,1,0,2,1,0,2,0,0,0,143.582,607.517,637.374,9,10,5,5,3,1,1,1,2,2,1,2,2,0,0,0,169.411,785.852,789.69,21,10,5,5,3,1,1,1,2,2,1,2,2,0,0,0,193.413,270.824,318.734,3,85,20,14,0,34,14,100,70,85,45
canary-eggplant,8,5,3,3,1,1,1,2,0,1,2,0,0,0,0,81.441,1315.173,1355.826,25,10,5,5,3,1,1,1,2,2,1,2,2,0,0,0,36.248,525.06,537.013,16,10,5,5,3,1,1,1,2,2,1,2,2,0,0,0,203.135,1170.254,1182.266,57,8,5,3,3,1,1,1,2,0,1,2,0,0,0,0,63.079,411.526,429.548,12,90,20,16,0,36,16,100,80,90,51
canary-elderberry,8,5,3,3,1,1,1,2,0,1,2,0,0,0,0,216.848,1002.632,1019.584,29,10,5,5,3,1,1,1,2,2,1,2,2,0,0,0,76.762,462.83,464.483,12,10,5,5,3,1,1,1,2,2,1,2,2,0,0,0,349.666,728.426,730.924,17,3,1,2,0,1,0,0,2,0,0,2,0,0,0,0,80.437,725.14,738.767,31,77.5,16,15,0,31,15,80,75,77.5,42
