key,q1_total,q1a,q1b,q1c,c1a,c1b,c1c,T1_First Click,T1_Last Click,T1_Page Submit,T1_Click Count,q2_total,q2a,q2b,q2c,c2a,c2b,c2c,T2_First Click,T2_Last Click,T2_Page Submit,T2_Click Count,q3_total,q3a,q3b,q3c,c3a,c3b,c3c,T3_First Click,T3_Last Click,T3_Page Submit,T3_Click Count,q4_total,q4a,q4b,q4c,c4a,c4b,c4c,T4_First Click,T4_Last Click,T4_Page Submit,T4_Click Count,q5_total,q5a,q5b,q5c,c5a,c5b,c5c,T5_First Click,T5_Last Click,T5_Page Submit,T5_Click Count,q6_total,q6a,q6b,q6c,c6a,c6b,c6c,T6_First Click,T6_Last Click,T6_Page Submit,T6_Click Count,q7_total,q7a,q7b,q7c,c7a,c7b,c7c,T7_First Click,T7_Last Click,T7_Page Submit,T7_Click Count,q8_total,q8a,q8b,q8c,c8a,c8b,c8c,T8_First Click,T8_Last Click,T8_Page Submit,T8_Click Count,SC0,score_check,with-comments,grade
apricot-tamarillo,5,3,1,1,0,0,0,44.401,84.196,169.404,4,5,3,1,1,0,0,0,55.668,111.795,183.618,4,5,3,1,1,0,0,0,69.295,90.353,155.068,4,5,3,1,1,0,0,0,138.757,159.294,214.276,4,5,3,1,1,0,0,0,60.688,142.274,183.781,4,5,3,1,1,0,0,0,210.724,236.285,304.132,4,5,3,1,1,0,0,0,165.136,306.676,362.909,4,5,3,1,1,0,0,0,70.879,109.37,145.442,4,40,40,40,100
asparagus-raspberry,5,3,1,1,0,0,0,61.101,85.196,87.436,4,1,0,0,1,0,0,0,137.36,203.601,314.815,4,5,3,1,1,0,0,0,61.308,76.683,90.576,4,5,3,1,1,0,0,0,106.99,168.112,172.75,4,5,3,1,1,0,0,0,21.002,190.932,300.842,4,5,3,1,1,0,0,0,178.915,283.114,300.902,4,2,0,0,1,0,1,0,236.628,259.634,277.358,5,5,3,1,1,0,0,0,44.141,167.785,182.493,4,32,32,33,82.5
blue-cucumber,5,3,1,1,0,0,0,118.383,372.687,485.108,10,5,3,1,1,0,0,0,48.951,221.956,224.521,12,1,0,0,1,0,0,0,68.659,195.133,202.257,5,5,3,1,1,0,0,0,139.269,146.424,151.309,4,1,0,0,1,0,0,0,48.314,108.309,122.67,4,5,3,1,1,0,0,0,97.07,124.843,130.333,4,1,0,0,1,0,0,0,32.545,78.436,106.789,4,5,3,1,1,0,0,0,130.122,153.375,159.466,4,28,28,28,70
blue-fig,5,3,1,1,0,0,0,5.749,108.038,109.047,8,5,3,1,1,0,0,0,46.166,151.262,200.526,12,5,3,1,1,0,0,0,19.166,201.41,261.609,14,5,3,1,1,0,0,0,74.075,172.051,201.6,14,5,3,1,1,0,0,0,38.739,280.506,281.758,25,5,3,1,1,0,0,0,180.575,301.575,314.041,16,5,3,1,1,0,0,0,37.331,375.393,376.294,15,5,3,1,1,0,0,0,41.436,111.737,112.35,9,40,40,40,100
blush-grape,5,3,1,1,0,0,0,134.272,141.168,208.139,7,5,3,1,1,0,0,0,380.304,435.273,516.113,7,1,0,1,0,0,0,0,6.258,381.206,470.915,8,5,3,1,1,0,0,0,30.27,325.004,372.139,8,5,3,1,1,0,0,0,1.844,456.24,512.925,9,5,3,1,1,0,0,0,265.855,307.717,351.528,7,5,3,1,1,0,0,0,281.901,587.959,691.947,7,5,3,1,1,0,0,0,60.158,166.529,179.86,10,36,36,36,90
blush-redcurrant,5,3,1,1,0,0,0,1.285,114.229,114.653,33,5,3,1,1,0,0,0,0.781,247.475,247.981,79,1,0,1,0,0,0,0,2.255,237.085,242.875,49,5,3,1,1,0,0,0,0.667,183.735,185.069,35,5,3,1,1,0,0,0,1.688,334.33,338.011,43,5,3,1,1,0,0,0,2.596,301.599,302.002,100,5,3,1,1,0,0,0,0.758,744.443,753.745,215,5,3,1,1,0,0,0,1.846,88.196,89.121,62,36,36,36,90
brown-quince,5,3,1,1,0,0,0,41.106,262.52,297.572,9,5,3,1,1,0,0,0,66.746,204.422,206.086,12,1,0,0,1,0,0,0,2.551,177.902,183.813,12,5,3,1,1,0,0,0,38.326,179.372,182.183,12,5,3,1,1,0,0,0,32.399,228.671,241.321,14,5,3,1,1,0,0,0,72.88,179.434,186.367,12,1,0,0,1,0,0,0,82.228,264.668,267.299,12,5,3,1,1,0,0,0,103.863,356.517,389.377,22,32,32,32,80
cerise-satsuma,5,3,1,1,0,0,0,45.391,153.019,168.238,8,5,3,1,1,0,0,0,148.615,427.809,441.166,9,1,0,1,0,0,0,0,21.408,147.259,153.244,9,5,3,1,1,0,0,0,75.692,308.241,315.425,14,5,3,1,1,0,0,0,38.142,370.188,393.022,12,5,3,1,1,0,0,0,29.138,133.437,181.293,7,1,0,0,1,0,0,0,209.994,996.151,1010.185,25,5,3,1,1,0,0,0,125.52,234.727,332.66,9,32,32,32,80
chestnut-artichoke,5,3,1,1,0,0,0,15.601,27.351,29.009,3,5,3,1,1,0,0,0,53.975,72.548,75.093,3,1,0,1,0,0,0,0,65.63,82.517,83.489,5,5,3,1,1,0,0,0,35.422,38.542,40.233,3,5,3,1,1,0,0,0,21.334,31.281,80.004,7,5,3,1,1,0,0,0,54.349,62.767,63.902,4,5,3,1,1,0,0,0,101.301,472.733,474.139,9,5,3,1,1,0,0,0,204.895,343.675,344.761,7,36,36,36,90
copper-horseradish,5,3,1,1,0,0,0,13.665,106.062,106.564,16,5,3,1,1,0,0,0,62.481,183.229,185.084,4,5,3,1,1,0,0,0,24.844,120.703,122.224,8,5,3,1,1,0,0,0,135.791,212.764,213.466,7,1,0,1,0,0,0,0,43.062,115.806,117.399,9,5,3,1,1,0,0,0,35.007,107.846,109.444,4,1,0,0,1,0,0,0,74.259,466.331,664.986,11,5,3,1,1,0,0,0,87.539,130.225,145.725,7,32,32,32,80
