key,q1_total,q1a,q1b,q1c,c1a,c1b,c1c,T1_First Click,T1_Last Click,T1_Page Submit,T1_Click Count,q2_total,q2a,q2b,q2c,c2a,c2b,c2c,T2_First Click,T2_Last Click,T2_Page Submit,T2_Click Count,q3_total,q3a,q3b,q3c,c3a,c3b,c3c,T3_First Click,T3_Last Click,T3_Page Submit,T3_Click Count,q4_total,q4a,q4b,q4c,c4a,c4b,c4c,T4_First Click,T4_Last Click,T4_Page Submit,T4_Click Count,q5_total,q5a,q5b,q5c,c5a,c5b,c5c,T5_First Click,T5_Last Click,T5_Page Submit,T5_Click Count,q6_total,q6a,q6b,q6c,c6a,c6b,c6c,Q6_First Click,Q6_Last Click,Q6_Page Submit,Q6_Click Count,q7_total,q7a,q7b,q7c,c7a,c7b,c7c,T7_First Click,T7_Last Click,T7_Page Submit,T7_Click Count,q8_total,q8a,q8b,q8c,c8a,c8b,c8c,T8_First Click,T8_Last Click,T8_Page Submit,T8_Click Count,score_check,with-comments,grade
almond-lychee,1,0,1,0,0,0,0,4.469,532.238,536.617,28,1,0,1,0,0,0,0,3.045,258.893,260.848,11,1,0,1,0,0,0,0,311.671,562.342,563.617,16,5,3,1,1,0,0,0,86.81,206.868,208.389,9,1,0,1,0,0,0,0,161.435,312.461,314.149,7,5,3,1,1,0,0,0,74.939,297.659,298.315,10,1,0,1,0,0,0,0,259.053,372.621,373.956,9,1,0,1,0,0,0,0,49.831,248.738,251.774,8,16,16,40
apricot-tamarillo,5,3,1,1,0,0,0,18.579,24.13,193.721,4,5,3,1,1,0,0,0,294.594,300.194,474.89,4,5,3,1,1,0,0,0,87.256,158.945,271.105,4,5,3,1,1,0,0,0,107.989,259.723,416.212,4,5,3,1,1,0,0,0,82.319,237.369,422.804,6,5,3,1,1,0,0,0,148.428,347.159,587.421,7,5,3,1,1,0,0,0,385.502,512.226,869.996,6,5,3,1,1,0,0,0,248.174,334.17,336.621,5,40,40,100
asparagus-raspberry,5,3,1,1,0,0,0,7.953,9.312,23.781,3,1,0,0,1,0,0,0,286.834,484.697,487.495,5,5,3,1,1,0,0,0,106.178,202.428,211.419,3,1,0,0,1,0,0,0,19.563,167.845,174.145,5,5,3,1,1,0,0,0,139.936,141.687,143.01,3,1,0,0,1,0,0,0,165.821,232.327,233.769,3,1,0,0,1,0,0,0,159.277,427.659,429.755,5,5,3,1,1,0,0,0,713.875,715.485,717.205,3,24,24,60
blue-cucumber,1,0,0,1,0,0,0,4.958,6.65,383.521,3,5,3,1,1,0,0,0,108.705,283.661,297.259,11,5,3,1,1,0,0,0,59.356,298.501,302.261,8,5,3,1,1,0,0,0,57.891,314.543,337.928,6,1,0,1,0,0,0,0,133.38,235.611,244.901,7,5,3,1,1,0,0,0,112.921,362.737,368.237,8,5,3,1,1,0,0,0,71.723,205.605,209.187,8,1,0,0,1,0,0,0,89.122,434.887,439.979,11,28,28,70
blue-fig,5,3,1,1,0,0,0,2.085,32.533,52.934,5,5,3,1,1,0,0,0,81.031,270.554,280.725,20,5,3,1,1,0,0,0,174.438,347.507,396.891,10,1,0,1,0,0,0,0,70.178,216.732,234.967,8,5,3,1,1,0,0,0,68.269,207.899,223.857,22,5,3,1,1,0,0,0,287.038,488.512,615.81,9,5,3,1,1,0,0,0,10.229,220.783,237.862,12,5,3,1,1,0,0,0,223.566,551.861,557.859,7,36,36,90
blush-grape,5,3,1,1,0,0,0,94.2,299.237,374.729,10,5,3,1,1,0,0,0,252.105,530.423,578.683,15,5,3,1,1,0,0,0,140.749,355.877,385.719,16,5,3,1,1,0,0,0,12.526,732.934,745.968,19,5,3,1,1,0,0,0,113.365,441.509,443.56,14,5,3,1,1,0,0,0,201.37,611.151,614.705,10,1,0,0,1,0,0,0,106.005,757.768,762.566,11,5,3,1,1,0,0,0,182.182,615.389,621.444,14,36,36,90
blush-redcurrant,5,3,1,1,0,0,0,0.477,615.82,616.1,68,5,3,1,1,0,0,0,0.212,394.902,395.431,106,5,3,1,1,0,0,0,0.74,654.482,655.14,225,5,3,1,1,0,0,0,0.587,374.891,378.325,159,5,3,1,1,0,0,0,0.739,204.819,205.52,71,5,3,1,1,0,0,0,0.694,637.539,637.846,72,5,3,1,1,0,0,0,0.326,275.925,276.292,92,5,3,1,1,0,0,0,54.771,405.716,406.534,68,40,40,100
brown-quince,5,3,1,1,0,0,0,11.232,127.096,131.641,16,5,3,1,1,0,0,0,265.757,623.299,628.856,20,5,3,1,1,0,0,0,65.642,285.464,287.692,13,1,0,0,1,0,0,0,71.205,348.793,379.029,13,1,0,1,0,0,0,0,67.701,375.704,377.516,21,5,3,1,1,0,0,0,58.89,298.631,310.786,10,1,0,1,0,0,0,0,160.895,398.102,425.038,13,5,3,1,1,0,0,0,101.991,490.711,503.059,26,28,28,70
cerise-satsuma,5,3,1,1,0,0,0,34.381,102.617,116.648,10,5,3,1,1,0,0,0,6.495,436.357,507.977,17,5,3,1,1,0,0,0,25.704,484.83,525.633,15,5,3,1,1,0,0,0,144.969,427.454,435.069,14,5,3,1,1,0,0,0,114.12,322.554,363.091,12,1,0,1,0,0,0,0,181.576,475.295,482.367,9,5,3,1,1,0,0,0,75.202,497.73,498.499,15,5,3,1,1,0,0,0,66.399,463.84,472.08,17,36,36,90
chestnut-artichoke,5,3,1,1,0,0,0,10.921,32.729,34.59,6,5,3,1,1,0,0,0,80.998,342.351,345.936,17,5,3,1,1,0,0,0,53.276,206.955,209.685,14,5,3,1,1,0,0,0,43.655,325.834,329.434,21,5,3,1,1,0,0,0,66.292,162.863,164.584,8,5,3,1,1,0,0,0,140.402,373.725,377.185,12,5,3,1,1,0,0,0,124.778,240.751,244.073,7,5,3,1,1,0,0,0,129.156,684.162,686.284,13,40,40,100
copper-horseradish,5,3,1,1,0,0,0,1.294,58.954,61.51,14,5,3,1,1,0,0,0,72.972,405.115,472.669,25,5,3,1,1,0,0,0,10.951,367.595,382.019,13,5,3,1,1,0,0,0,4.486,425.987,463.812,75,5,3,1,1,0,0,0,112.794,135.625,164.979,7,5,3,1,1,0,0,0,114.572,428.665,437.976,21,5,3,1,1,0,0,0,39.873,437.618,443.35,36,5,3,1,1,0,0,0,63.945,455.146,472.676,45,40,40,100
denim-asparagus,5,3,1,1,0,0,0,10.236,105.236,108.173,14,5,3,1,1,0,0,0,184.979,252.957,263.474,8,5,3,1,1,0,0,0,118.134,219.846,227.833,8,1,0,0,1,0,0,0,185.388,892.188,909.5,17,5,3,1,1,0,0,0,86.147,197.414,214.365,10,5,3,1,1,0,0,0,103.019,493.61,505.305,11,5,3,1,1,0,0,0,92.513,391.991,395.202,10,5,3,1,1,0,0,0,108.8,340.387,343.082,7,36,36,90
eggplant-daikon,5,3,1,1,0,0,0,5.497,58.552,89.29,8,5,3,1,1,0,0,0,1.456,364.846,366.927,11,5,3,1,1,0,0,0,130.714,345.101,346.869,8,5,3,1,1,0,0,0,50.183,326.856,328.602,20,5,3,1,1,0,0,0,69.856,258.067,259.93,14,5,3,1,1,0,0,0,511.597,744.728,746.743,10,5,3,1,1,0,0,0,168.561,569.548,572.665,26,5,3,1,1,0,0,0,136.801,497.866,500.186,22,40,40,100
gold-blackcurrant,5,3,1,1,0,0,0,45.929,54.32,55.306,3,5,3,1,1,0,0,0,119.724,172.023,174.666,6,5,3,1,1,0,0,0,86.715,293.617,297.653,16,1,0,1,0,0,0,0,72.481,288.921,295.888,15,5,3,1,1,0,0,0,181.244,271.835,372.025,13,5,3,1,1,0,0,0,303.99,462.626,476.233,13,5,3,1,1,0,0,0,88.001,512.407,520.842,17,5,3,1,1,0,0,0,308.947,560.311,565.443,14,36,36,90
green-mushroom,5,3,1,1,0,0,0,26.507,212.256,215.858,30,5,3,1,1,0,0,0,70.668,241.56,276.879,15,5,3,1,1,0,0,0,11.037,387.513,405.485,12,1,0,0,1,0,0,0,5.372,396.321,423.69,16,1,0,1,0,0,0,0,160.632,662.847,708.283,22,5,3,1,1,0,0,0,14.869,315.17,318.378,9,5,3,1,1,0,0,0,177.25,571.163,577.854,13,5,3,1,1,0,0,0,304.588,396.12,404.342,10,32,32,80
mahogany-avocado,1,0,1,0,0,0,0,1.387,2.891,11.475,3,5,3,1,1,0,0,0,37.871,138.831,165.135,4,5,3,1,1,0,0,0,58.989,139.13,150.884,4,5,3,1,1,0,0,0,31.333,176.575,177.636,7,1,0,1,0,0,0,0,44.008,232.866,237.174,10,1,0,1,0,0,0,0,74.661,290.941,332.178,10,5,3,1,1,0,0,0,4.858,389.407,524.769,8,5,3,1,1,0,0,0,94.922,351.329,354.224,10,28,28,70
mauvelous-lettuce,5,3,1,1,0,0,0,10.814,60.825,62,7,5,3,1,1,0,0,0,51.337,146.601,195.185,7,1,0,0,1,0,0,0,183.023,368.395,370.37,19,5,3,1,1,0,0,0,58.344,230.149,231.586,8,1,0,1,0,0,0,0,88.907,221.557,292.01,9,5,3,1,1,0,0,0,30.581,207.736,209.237,13,1,0,0,1,0,0,0,71.278,243.817,244.189,11,1,0,0,1,0,0,0,14.427,258.025,259.715,15,24,24,60
orchid-caraway,5,3,1,1,0,0,0,1.784,3.097,44.742,3,5,3,1,1,0,0,0,169.344,593.347,606.326,7,1,0,1,0,0,0,0,103.742,261.135,269.843,5,5,3,1,1,0,0,0,70.233,218.511,229.283,7,5,3,1,1,0,0,0,107.089,378.009,406.408,7,5,3,1,1,0,0,0,146.905,408.991,411.591,5,5,3,1,1,0,0,0,154.742,625.748,629.005,11,5,3,1,1,0,0,0,70.84,475.743,479.126,5,36,36,90
orchid-elderberry,5,3,1,1,0,0,0,17.096,46.63,64.961,6,1,0,1,0,0,0,0,61.091,344.282,384.417,9,5,3,1,1,0,0,0,185.102,398.865,402.02,9,1,0,0,1,0,0,0,100.342,410.71,413.596,8,1,0,0,1,0,0,0,174.173,470.29,473.137,6,1,0,1,0,0,0,0,46.227,213.741,215.631,7,5,3,1,1,0,0,0,36.926,350.732,353.3,8,5,3,1,1,0,0,0,53.353,122.142,125.85,5,24,24,60
razzmatazz-courgette,1,0,0,1,0,0,0,5.602,26.404,38.594,9,1,0,1,0,0,0,0,60.988,183.986,185.574,6,1,0,1,0,0,0,0,8.992,143.228,144.907,8,1,0,0,1,0,0,0,49.686,121.561,127.023,6,1,0,0,1,0,0,0,2.61,273.792,275.131,15,5,3,1,1,0,0,0,44.096,194.779,196.737,15,1,0,1,0,0,0,0,82.093,500.862,512.107,14,5,3,1,1,0,0,0,58.798,815.435,846.638,12,16,16,40
sepia-habanero,5,3,1,1,0,0,0,3.427,224.446,258.468,13,4,3,1,0,0,0,0,147.328,241.611,249.082,6,5,3,1,1,0,0,0,20.1,118.186,135.651,6,5,3,1,1,0,0,0,114.013,482.466,632.424,6,5,3,1,1,0,0,0,66.364,772.915,784.634,11,5,3,1,1,0,0,0,14.392,365.645,369.966,8,5,3,1,1,0,0,0,1.421,716.706,917.853,10,5,3,1,1,0,0,0,14.992,399.397,402.32,10,39,39,97.5
shadow-cantaloupe,1,0,0,1,0,0,0,9.998,85.016,183.173,9,1,0,1,0,0,0,0,174.511,734.161,737.364,23,5,3,1,1,0,0,0,157.95,741.261,758.71,19,1,0,0,1,0,0,0,82.926,475.977,520.654,10,1,0,1,0,0,0,0,165.313,382.83,386.54,10,5,3,1,1,0,0,0,105.728,245.135,247.405,6,5,3,1,1,0,0,0,88.655,409.582,432.085,15,5,3,1,1,0,0,0,139.468,257.759,260.047,7,24,24,60
shamrock-rosemary,5,3,1,1,0,0,0,3.738,5.502,42.359,3,5,3,1,1,0,0,0,222.288,429.628,433.01,13,1,0,0,1,0,0,0,14.171,196.616,225.884,9,1,0,1,0,0,0,0,146.65,508.432,516.584,11,1,0,1,0,0,0,0,58.808,387.304,395.844,12,1,0,1,0,0,0,0,22.912,426.527,428.061,14,5,3,1,1,0,0,0,86.214,295.173,300.817,10,1,0,0,1,0,0,0,18.977,166.07,168.058,8,20,20,50
silver-courgette,5,3,1,1,0,0,0,109.209,128.383,130.722,5,5,3,1,1,0,0,0,50.416,240.226,398.501,5,5,3,1,1,0,0,0,139.646,218.798,243.576,5,5,3,1,1,0,0,0,58.613,139.498,171.885,6,5,3,1,1,0,0,0,113.22,212.915,256.055,5,5,3,1,1,0,0,0,5.526,329.773,355.91,5,1,0,0,1,0,0,0,115.85,463.054,514.04,12,5,3,1,1,0,0,0,167.724,351.376,353.127,6,36,36,90
sunglow-grape,5,3,1,1,0,0,0,24.313,171.229,208.543,6,5,3,1,1,0,0,0,130.266,752.309,769.088,9,5,3,1,1,0,0,0,96.692,306.026,333.191,10,5,3,1,1,0,0,0,61.681,307.905,350.773,14,5,3,1,1,0,0,0,122.094,215.846,227.277,8,5,3,1,1,0,0,0,171.185,467.823,474.026,13,1,0,0,1,0,0,0,260.834,370.776,393.438,8,5,3,1,1,0,0,0,58.048,201.361,204.384,8,36,36,90
tan-pomegranate,5,3,1,1,0,0,0,3.772,5.503,6.78,3,1,0,1,0,0,0,0,77.718,203.201,318.065,3,5,3,1,1,0,0,0,24.96,172.897,175.775,3,5,3,1,1,0,0,0,87.467,180.498,244.066,5,1,0,0,1,0,0,0,164.008,477.331,478.773,12,1,0,0,1,0,0,0,173.616,436.321,437.611,10,5,3,1,1,0,0,0,299.512,385.971,387.658,4,1,0,1,0,0,0,0,19.741,454.642,709.083,6,24,24,60
timberwolf-rosemary,5,3,1,1,0,0,0,43.041,138.157,169.475,6,5,3,1,1,0,0,0,121.669,574.675,578.517,12,5,3,1,1,0,0,0,21.129,169.153,174.96,10,1,0,0,1,0,0,0,12.008,370.142,372.182,13,1,0,0,1,0,0,0,141.306,284.247,317.615,6,5,3,1,1,0,0,0,341.252,463.747,748.231,5,5,3,1,1,0,0,0,67.481,143.834,245.503,5,5,3,1,1,0,0,0,33.722,321.081,324.76,16,32,32,80
