key,q1_total,q1a,q1b,q1c,c1a,c1b,c1c,T1_First Click,T1_Last Click,T1_Page Submit,T1_Click Count,q2_total,q2a,q2b,q2c,c2a,c2b,c2c,T2_First Click,T2_Last Click,T2_Page Submit,T2_Click Count,q3_total,q3a,q3b,q3c,c3a,c3b,c3c,T3_First Click,T3_Last Click,T3_Page Submit,T3_Click Count,q4_total,q4a,q4b,q4c,c4a,c4b,c4c,T4_First Click,T4_Last Click,T4_Page Submit,T4_Click Count,score_check,grade,new.grade
almond-lychee,1,0,0,1,0,0,0,216.601,603.369,682.908,5,5,3,1,1,0,0,0,49.674,615.403,999.194,8,1,0,1,0,0,0,0,7.545,553.693,609.893,5,1,0,1,0,0,0,0,195.353,235.235,240.045,6,8,40,40
apricot-tamarillo,5,3,1,1,0,0,0,469.965,499.827,529.478,3,5,3,1,1,0,0,0,491.294,569.504,571.115,4,5,3,1,1,0,0,0,512.147,610.07,611.756,4,1,0,0,1,0,0,0,9.169,406.581,409.653,5,16,80,80
asparagus-raspberry,1,0,0,1,0,0,0,457.364,631.857,635.669,3,1,0,0,1,0,0,0,651.487,822.692,828.714,3,1,0,0,1,0,0,0,202.874,755.851,998.175,6,1,0,1,0,0,0,0,588.042,589.532,590.964,3,4,20,20
blue-cucumber,5,3,1,1,0,0,0,49.496,461.276,466.099,6,1,0,1,0,0,0,0,187.278,733.053,739.518,16,1,0,1,0,0,0,0,246.78,434.639,442.618,9,5,3,1,1,0,0,0,155.09,507.744,513.919,20,12,60,60
blue-fig,5,3,1,1,0,0,0,599.14,1037.267,1043.067,14,5,3,1,1,0,0,0,25.591,534.727,536.292,16,5,3,1,1,0,0,0,13.134,854.682,892.131,28,5,3,1,1,0,0,0,92.436,361.465,371.577,9,20,100,100
blush-grape,5,3,1,1,0,0,0,396.688,1021.413,1503.19,3,5,3,1,1,0,0,0,201.88,392.616,394.248,8,5,3,1,1,0,0,0,458.107,961.037,962.614,8,1,0,0,1,0,0,0,171.357,346.624,348.361,7,16,80,80
blush-redcurrant,1,0,1,0,0,0,0,62.064,1111.881,1185.416,13,5,3,1,1,0,0,0,185.764,831.077,832.633,11,5,3,1,1,0,0,0,205.219,702.217,704.317,14,1,0,1,0,0,0,0,74.123,428.843,454.895,25,12,60,60
brown-quince,5,3,1,1,0,0,0,118.765,873.416,891.944,27,5,3,1,1,0,0,0,73.886,580.062,588.679,22,5,3,1,1,0,0,0,89.776,596.604,598.078,27,5,3,1,1,0,0,0,156.531,513.004,513.928,12,20,100,100
cerise-satsuma,5,3,1,1,0,0,0,224.729,575.002,585.902,9,1,0,0,1,0,0,0,228.018,1022.574,1029.174,12,5,3,1,1,0,0,0,220.144,686.074,696.646,11,5,3,1,1,0,0,0,22.903,348.304,352.458,11,16,80,80
chestnut-artichoke,1,0,1,0,0,0,0,198.529,1057.373,1060.823,13,5,3,1,1,0,0,0,112.404,237.277,239.995,15,5,3,1,1,0,0,0,18.788,640.829,642.739,10,5,3,1,1,0,0,0,40.136,156.306,158.502,11,16,80,80
copper-horseradish,5,3,1,1,0,0,0,230.779,1507.558,1509.823,28,5,3,1,1,0,0,0,24.888,370.505,371.65,27,5,3,1,1,0,0,0,50.67,579.639,582.403,22,1,0,1,0,0,0,0,46.253,580.289,580.795,21,16,80,80
denim-asparagus,5,3,1,1,0,0,0,277.669,284.452,295.373,3,5,3,1,1,0,0,0,239.614,602.038,603.747,4,1,0,0,1,0,0,0,236.833,582.837,584.842,3,5,3,1,1,0,0,0,65.445,206.866,208.79,3,16,80,80
eggplant-daikon,1,0,1,0,0,0,0,283.839,695.957,2032.164,12,5,3,1,1,0,0,0,55.804,284.656,287.175,10,5,3,1,1,0,0,0,136.468,475.038,478.203,11,5,3,1,1,0,0,0,189.2,400.854,403.958,11,16,80,80
gold-blackcurrant,1,0,1,0,0,0,0,559.7,1146.214,1187.753,12,5,3,1,1,0,0,0,64.005,914.91,934.2,13,5,3,1,1,0,0,0,16.148,1187.772,1189.607,9,5,3,1,1,0,0,0,77.856,589.525,603.237,12,16,80,80
green-mushroom,1,0,1,0,0,0,0,184.926,1646.61,1647.146,28,5,3,1,1,0,0,0,63.6,538.226,541.774,7,5,3,1,1,0,0,0,344.994,910.536,918.261,10,1,0,0,1,0,0,0,157.432,412.082,414.258,10,12,60,60
mahogany-avocado,1,0,0,1,0,0,0,153.939,642.292,706.616,22,1,0,1,0,0,0,0,14.384,1607.704,1614.238,23,1,0,1,0,0,0,0,110.242,228.147,231.306,10,1,0,0,1,0,0,0,93.296,294.05,301.305,10,4,20,20
mauvelous-lettuce,1,0,0,1,0,0,0,61.049,246.864,264.867,8,1,0,1,0,0,0,0,22.584,130.158,134.444,6,1,0,0,1,0,0,0,30.592,211.538,263.811,17,5,3,1,1,0,0,0,63.302,409.082,411.128,12,8,40,40
orchid-caraway,5,3,1,1,0,0,0,534.261,969.174,973.755,7,5,3,1,1,0,0,0,65.62,805.735,810.653,17,1,0,1,0,0,0,0,307.861,890.821,901.882,6,5,3,1,1,0,0,0,179.163,406.47,411.12,9,16,80,80
