"","Student","MCQ","Justification","J Gain","J Consistency","Score"
"1","What is your Last Name?",NA,NA,NA,NA,NA
"2","{""ImportId"":""QID64_TEXT""}",NA,NA,NA,NA,NA
"3","ideal",NA,NA,NA,NA,100
"4","apricot-pea",50,42.5,-7.5,-7.5,46.25
"5","apricot-tomato",60,25,-29.1666666666667,-35,42.5
"6","aquamarine-cucumber",80,80,0,0,80
"7","bittersweet-potato",67.5,57.5,-7.40740740740741,-10,62.5
"8","bittersweet-tubers",80,65,-9.375,-15,72.5
"9","black-turnip",100,90,-5,-10,95
"10","blue-watercress",80,70,-6.25,-10,75
"11","brown-bilberry",60,55,-4.16666666666668,-4.99999999999999,57.5
"12","brown-mandarine",90,82.5,-4.16666666666667,-7.5,86.25
"13","canary-eggplant",100,95,-2.5,-5,97.5
"14","canary-elderberry",80,70,-6.25,-10,75
"15","cerulean-chickpea",90,77.5,-6.94444444444444,-12.5,83.75
"16","chestnut-cilantro",80,65,-9.375,-15,72.5
"17","eggplant-rutabaga",60,40,-16.6666666666667,-20,50
"18","goldenrod-dill",70,67.5,-1.78571428571429,-2.5,68.75
"19","lavender-asparagus",60,35,-20.8333333333333,-25,47.5
"20","magenta-jalapeno",90,67.5,-12.5,-22.5,78.75
"21","manatee-lime",100,95,-2.5,-5,97.5
"22","melon-quince",50,42.5,-7.5,-7.5,46.25
"23","peach-frisee",100,75,-12.5,-25,87.5
"24","razzmatazz-artichoke",70,37.5,-23.2142857142857,-32.5,53.75
"25","razzmatazz-cabbage",60,45,-12.5,-15,52.5
"26","red-jambul",60,45,-12.5,-15,52.5
"27","red-radish",90,77.5,-6.94444444444444,-12.5,83.75
"28","scarlet-gooseberry",100,100,0,0,100
"29","sunglow-nectarine",80,70,-6.25,-10,75
"30","tumbleweed-cranberry",50,52.5,2.49999999999999,2.5,51.25
"31","tumbleweed-frisee",60,65,4.16666666666667,5,62.5
"32","violet-kumquat",80,75,-3.125,-5,77.5
"33","yellow-eggplant",60,55,-4.16666666666668,-4.99999999999999,57.5
