"Column","Mean","Median","StdDev","P_Value","Normal","Wilcoxon_P_Value"
"s1",NA,NA,NA,NA,"Not enough data",NA
"s2",NA,NA,NA,NA,"Not enough data",NA
"s1",NA,NA,NA,NA,"Not enough data",NA
"s2",NA,NA,NA,NA,"Not enough data",NA
"s1",NA,NA,NA,NA,"Not enough data",NA
"s2",NA,NA,NA,NA,"Not enough data",NA
"s1",NA,NA,NA,NA,"Not enough data",NA
"s2",NA,NA,NA,NA,"Not enough data",NA
"s1",NA,NA,NA,NA,"Not enough data",NA
"s2",NA,NA,NA,NA,"Not enough data",NA
"s1",NA,NA,NA,NA,"Not enough data",NA
"s2",NA,NA,NA,NA,"Not enough data",NA
"s1",NA,NA,NA,NA,"Not enough data",NA
"s2",NA,NA,NA,NA,"Not enough data",NA
"s1",NA,NA,NA,NA,"Not enough data",NA
"s2",NA,NA,NA,NA,"Not enough data",NA
"s1",NA,NA,NA,NA,"Not enough data",NA
"s2",NA,NA,NA,NA,"Not enough data",NA
"s1",NA,NA,NA,NA,"Not enough data",NA
"s2",NA,NA,NA,NA,"Not enough data",NA
"s1",NA,NA,NA,NA,"Not enough data",NA
"s2",NA,NA,NA,NA,"Not enough data",NA
"s1",NA,NA,NA,NA,"Not enough data",NA
"s2",NA,NA,NA,NA,"Not enough data",NA
"s1",NA,NA,NA,NA,"Not enough data",NA
"s2",NA,NA,NA,NA,"Not enough data",NA
"s1",3.4,4,1.29099444873581,0.0171061345007603,"Not Normal",0.442372242455154
"s2",3.63333333333333,4,1.37673610356182,0.000256006872364586,"Not Normal",0.442372242455154
"s1",3.68,4,1.28192563486863,0.000685903663510816,"Not Normal",0.824583167118447
"s2",3.63333333333333,4,1.60781139169505,9.85638923189269e-06,"Not Normal",0.824583167118447
"s1",3.36,3,1.15036226178249,0.033662943071621,"Not Normal",0.384850988682916
"s2",3.56666666666667,4,1.54659433045272,7.44904492510841e-05,"Not Normal",0.384850988682916
"s1",3.64,4,1.28711563842052,0.0045751269720908,"Not Normal",0.719051613913658
"s2",3.73333333333333,4,1.33735027091874,0.000303494538791054,"Not Normal",0.719051613913658
"s1",3.68,4,1.06926766215636,0.00202218699029499,"Not Normal",0.633231017352889
"s2",3.73333333333333,4,1.31131240743198,0.000177216942609848,"Not Normal",0.633231017352889
"s1",4.36,4,0.7,6.73329312024309e-05,"Not Normal",0.609907130639852
"s2",4.13333333333333,5,1.43198279062413,2.17922078233292e-07,"Not Normal",0.609907130639852
"s1",2.88,3,1.05356537528527,0.00170804050055195,"Not Normal",0.273839396332209
"s2",3.23333333333333,4,1.50134039728029,0.000778508589743165,"Not Normal",0.273839396332209
"s1",3.04,3,1.30639452948436,0.00316310774592324,"Not Normal",0.826473861281742
"s2",3.06666666666667,3,1.01483252680985,0.0214175816144915,"Not Normal",0.826473861281742
"s1",3.88,4,0.92736184954957,0.0039219246981126,"Not Normal",0.859601537402717
"s2",3.83333333333333,4,1.20582875587944,0.000432145088983817,"Not Normal",0.859601537402717
"s1",2.92,3,1.32035348802256,0.0108937882088933,"Not Normal",0.114655803521121
"s2",2.33333333333333,2,1.09334454718107,0.00538116166087362,"Not Normal",0.114655803521121
"s1",4.32,4,0.690410505906933,9.98403042745738e-05,"Not Normal",0.0130557063803668
"s2",3.6,4,1.13258934335868,0.00173731469601724,"Not Normal",0.0130557063803668
"s1",4.44,5,0.711805216802087,2.02259894234254e-05,"Not Normal",0.777151255660117
"s2",4.26666666666667,5,1.04826073794292,2.01493899136002e-06,"Not Normal",0.777151255660117
"s1",3,3,1.08711461300922,0.0295243368997083,"Not Normal",0.604364404071536
"s2",3.2,3,0.846901044579793,0.0014902386463301,"Not Normal",0.604364404071536
"s1",4.30434782608696,4,0.764840007553312,0.000142802852635842,"Not Normal",0.890861038451173
"s2",4.33333333333333,4.5,0.758098043578903,1.35809348150119e-05,"Not Normal",0.890861038451173
