"Column","Mean","Median","StdDev","P_Value","Normal","Wilcoxon_P_Value"
"s1",NA,NA,NA,NA,"Not enough data",NA
"s2",NA,NA,NA,NA,"Not enough data",NA
"s1",NA,NA,NA,NA,"Not enough data",NA
"s2",NA,NA,NA,NA,"Not enough data",NA
"s1",NA,NA,NA,NA,"Not enough data",NA
"s2",NA,NA,NA,NA,"Not enough data",NA
"s1",NA,NA,NA,NA,"Not enough data",NA
"s2",NA,NA,NA,NA,"Not enough data",NA
"s1",NA,NA,NA,NA,"Not enough data",NA
"s2",NA,NA,NA,NA,"Not enough data",NA
"s1",NA,NA,NA,NA,"Not enough data",NA
"s2",NA,NA,NA,NA,"Not enough data",NA
"s1",NA,NA,NA,NA,"Not enough data",NA
"s2",NA,NA,NA,NA,"Not enough data",NA
"s1",NA,NA,NA,NA,"Not enough data",NA
"s2",NA,NA,NA,NA,"Not enough data",NA
"s1",NA,NA,NA,NA,"Not enough data",NA
"s2",NA,NA,NA,NA,"Not enough data",NA
"s1",NA,NA,NA,NA,"Not enough data",NA
"s2",NA,NA,NA,NA,"Not enough data",NA
"s1",NA,NA,NA,NA,"Not enough data",NA
"s2",NA,NA,NA,NA,"Not enough data",NA
"s1",NA,NA,NA,NA,"Not enough data",NA
"s2",NA,NA,NA,NA,"Not enough data",NA
"s1",NA,NA,NA,NA,"Not enough data",NA
"s2",NA,NA,NA,NA,"Not enough data",NA
"s1",3.5,4,1.0363754503432,4.26728585827224e-05,"Not Normal",0.17080504554712
"s2",3.1,3,1.15519814690844,0.00051077423711834,"Not Normal",0.17080504554712
"s1",3.71428571428571,4,1.08379111207058,0.000589045172118318,"Not Normal",0.150241785287452
"s2",3.3,4,1.14921262400498,0.00117381054708197,"Not Normal",0.150241785287452
"s1",3.14285714285714,3.5,1.20843595623329,0.0020782570551418,"Not Normal",0.616197094708541
"s2",3.3,4,1.14921262400498,0.00117381054708197,"Not Normal",0.616197094708541
"s1",3.60714285714286,4,0.994029797388005,0.00210637506639035,"Not Normal",0.642750464426932
"s2",3.7,4,1.11880478097434,0.00305532972281026,"Not Normal",0.642750464426932
"s1",2.89285714285714,3,1.03061598676195,0.00024252629122054,"Not Normal",0.00952587741268701
"s2",3.63333333333333,4,0.99942512211403,0.00231274091000763,"Not Normal",0.00952587741268701
"s1",3.71428571428571,4,1.08379111207058,0.00437183559967139,"Not Normal",0.218569849701464
"s2",3.96666666666667,4,1.21721370161624,1.82298384544152e-05,"Not Normal",0.218569849701464
"s1",2.5,2,1.29099444873581,0.00415970030491129,"Not Normal",0.885380520328689
"s2",2.53333333333333,2,1.25212463115859,0.00215737333017437,"Not Normal",0.885380520328689
"s1",4.75,5,0.645497224367903,3.25990859230248e-09,"Not Normal",0.634801494629792
"s2",4.7,5,0.651258728182957,7.46425273556048e-09,"Not Normal",0.634801494629792
"s1",3.28571428571429,4,1.15010926557059,0.000604411152029775,"Not Normal",0.347131228787547
"s2",3.06666666666667,3,1.11210683353507,0.0264318054994161,"Not Normal",0.347131228787547
"s1",3.53571428571429,4,1.23174500899974,0.00159980219622836,"Not Normal",0.33303209850575
"s2",3.36666666666667,4,0.927857499958849,0.000101728172554925,"Not Normal",0.33303209850575
"s1",3.60714285714286,4,1.37003070293484,0.000237254550062965,"Not Normal",0.790407652184405
"s2",3.56666666666667,4,1.30472175216584,0.000998946886232871,"Not Normal",0.790407652184405
"s1",4.14285714285714,4,0.970463261437001,0.000125434851879477,"Not Normal",0.660780962589577
"s2",4.06666666666667,4,0.907187139319736,0.000291767343199629,"Not Normal",0.660780962589577
"s1",3.64285714285714,4,1.22366437283861,0.0033574123244747,"Not Normal",0.489961645013215
"s2",3.9,4,0.959525744924238,0.000408118323589835,"Not Normal",0.489961645013215
"s1",4.10714285714286,4,0.831744517143901,0.00048469808752405,"Not Normal",0.0118681857150092
"s2",3.43333333333333,4,1.04000442085709,9.37156103431388e-05,"Not Normal",0.0118681857150092
